# id tag_id v_alpha v_beta vdc sector overmodulated error_code a_num b_num sum_num base denominator t1 t2 L M H duty_u duty_v duty_w
0000000d 000d 0000220 00003ad 000065f 3 1 0 0000002abc 0000f8b435 00000f8def1 0000f8def0 00000f8def1 0002bf563 0ffd40a9d 000000000 0002bf563 100000000 0000000 0002bf5 1000000
0000000e 000e 0140000 0000000 0180000 2 1 0 0493e00000 0000000000 00493e00000 03a9800000 00493e00000 100000000 000000000 000000000 100000000 100000000 0000000 1000000 1000000
0000000f 000f 0006147 000a87c 0000001 1 1 0 ffffffaa88 002c875ad8 0002c870560 0000002710 0002c870560 3fffe149e 10001eb62 000000000 3fffe149e 100000000 3fffe15 0000000 1000000
00000010 0010 000007b 1fffe38 0000000 0 0 1 0000000000 0000000000 00000000000 0000000000 00000000000 000000000 000000000 000000000 000000000 000000000 0000000 0000000 0000000
00000011 0011 000007b 1fffe38 1ffffff 0 0 1 0000000000 0000000000 00000000000 0000000000 00000000000 000000000 000000000 000000000 000000000 000000000 0000000 0000000 0000000
00000012 0012 00061a8 000a923 0180000 3 0 0 00000077c4 002cb3d11b 0002cb448df 03a9800000 003a9800000 0000020b4 00c34ecc7 079e57943 079e599f7 0861a86be 079e579 079e59a 0861a87
00000013 0013 00061a8 000a925 0180000 1 0 0 ffffffcbe4 002cb3e364 0002cb3af48 03a9800000 003a9800000 3fffff1c5 00c34f1c5 079e58e3b 079e58000 0861a71c5 079e580 079e58e 0861a72
00000014 0014 1ffff67 0000109 0180000 1 0 0 000046094c ffffffff9c 000004608e8 03a9800000 003a9800000 000131fe5 3ffffffe5 07ff6701b 080099000 080098fe5 0800990 07ff670 0800990
00000015 0015 1ffff06 00001b1 0180000 1 0 0 0000727004 ffffffff24 00000726f28 03a9800000 003a9800000 0001f3fc4 3ffffffc4 07ff0603c 0800fa000 0800f9fc4 0800fa0 07ff060 0800fa0
00000016 0016 1ffff9f 00000a8 0180000 5 0 0 00002c66e8 0000000078 000002c6760 03a9800000 003a9800000 0000c1fec 000000021 07ff9effa 080060fe6 080061007 0800610 07ff9f0 0800610
00001000 0000 1ff5dfb 00bf004 00f1a25 1 1 0 01b8e89c48 016ebdf258 00327a68ea0 024ded4550 00327a68ea0 08bc116e8 0743ee918 000000000 08bc116e8 100000000 08bc117 0000000 1000000
00001001 0000 1f5c31d 00fc75b 0129413 5 1 0 042b976c13 00421bc26c 0046db32e7f 02d5b82630 0046db32e7f 0f1127521 00eed8adf 000000000 0f1127521 100000000 1000000 0000000 0f11275
00001002 0000 1f08546 002228a 021eda2 5 0 0 009072eb1a 0342c69e28 003d3398942 052d528820 0052d528820 01be6de40 0a13eea38 0216d1bc4 03d53fa04 0de92e43c 0de92e4 0216d1c 03d53fa
00001003 0000 0087396 0082f3a 0119ea1 3 1 0 00da570708 0229c35b4a 003041a6252 02b0447110 003041a6252 04864aa1e 0b79b55e2 000000000 04864aa1e 100000000 0000000 04864aa 1000000
00001004 0000 1f3c62a 1febf1c 00d91ec 4 1 0 0054cf8284 02a1f5b240 002f6c534c4 02121412c0 002f6c534c4 01c9d33e4 0e362cc1c 000000000 01c9d33e4 100000000 1000000 01c9d34 0000000
00001005 0000 1fb774a 1f9457a 02358ca 4 0 0 01c7423476 00260cab18 001ed4edf8e 0564bc52a0 00564bc52a0 05468a58a 0070e0078 05244acff 0a6ad5289 0adbb5301 0adbb53 0a6ad53 05244ad
00001006 0000 00d0870 1f7a0d5 00d2409 2 1 0 01e07307e4 02366f1463 00416e21c47 02014f9f90 00416e21c47 0757ca337 08a835cc9 000000000 0757ca337 100000000 0000000 1000000 0757ca3
00001007 0000 0114050 006552e 00c9f81 3 1 0 031c96d768 01ac79455e 004c9101cc6 01ed169f10 004c9101cc6 0a6765bce 05989a432 000000000 0a6765bce 100000000 0000000 0a6765c 1000000
00001008 0000 1f19640 1f4d58c 01042d8 4 1 0 02f37b6294 01d2cc2df0 004c6479084 027b331580 004c6479084 09e3b5174 061c4ae8c 000000000 09e3b5174 100000000 1000000 09e3b51 0000000
00001009 0000 1ff0c00 1ec93d1 0207f3c 6 1 0 02c8e085ec 02592ec5ec 005220f4bd8 04f56a17c0 005220f4bd8 08ae142f0 0751ebd10 000000000 08ae142f0 100000000 08ae143 1000000 0000000
0000100a 0000 1f1bc3e 00e2fcf 01602d2 5 1 0 03bfe0bca7 0163e8e8c4 00523c9a56b 035bce2b20 00523c9a56b 0bac10c58 0453ef3a8 000000000 0bac10c58 100000000 1000000 0000000 0bac10c
0000100b 0000 1f814ad 00cdce9 01ec08b 5 0 0 03664ed0d1 001ce38d54 00383325e25 04b14135b0 004b14135b0 0b978c496 0062811e0 0202f94c5 0d9a8595b 0dfd06b3b 0dfd06b 0202f95 0d9a859
0000100c 0000 1f93112 1ef7295 01d505b 6 0 0 03bedcb0ec 00a1031e4c 0045fdfcf38 047912e2b0 0047912e2b0 0d65e8c10 023ff358b 002d11f33 0d92fab43 0fd2ee0ce 0d92fab 0fd2ee1 002d11f
0000100d 0000 1f0f508 1f4a269 0201698 4 1 0 0300ff4daf 01f0f0bb34 004f1f008e3 04e5729180 004f1f008e3 09b8205bf 0647dfa41 000000000 09b8205bf 100000000 1000000 09b8206 0000000
0000100e 0000 001a3bf 0000191 0222d21 3 0 0 005fdd8254 000069fbb9 00060477e0d 053702d910 0053702d910 012620c45 0001452be 076c4d07f 08926dcc4 0893b2f82 076c4d0 08926dd 0893b30
0000100f 0000 1fed716 01023b6 0147e41 1 1 0 0265ed57a8 01de02b9c8 00443f01170 032083cb10 00443f01170 08feeb8ea 070114716 000000000 08feeb8ea 100000000 08feeb9 0000000 1000000
00001010 0000 00a0079 0059292 011f955 3 1 0 018d897ef0 017909f862 00306937752 02be1b8850 00306937752 083632998 07c9cd668 000000000 083632998 100000000 0000000 083632a 1000000
00001011 0000 0000bb2 1fcf240 00ee475 6 0 0 00649fdd50 0069fa68b0 000ce9a4600 0245bc1a50 00245bc1a50 02c47f726 02ea31768 0528a78b9 07ed26fdf 0ad758747 07ed270 0ad7587 0528a79
00001012 0000 1ff11d4 1f12cd1 01953ae 6 1 0 022c03540c 01befc8fcc 003eaffe3d8 03dd54bce0 003eaffe3d8 08de9e4db 072161b25 000000000 08de9e4db 100000000 08de9e5 1000000 0000000
00001013 0000 1ff1eda 1f31bb3 02227f8 6 0 0 01e7a34754 018092b234 0036835f988 0536394780 00536394780 05d9060bb 049c9eb34 02c52da09 089e33ac4 0d3ad25f8 089e33b 0d3ad26 02c52da
00001014 0000 0062333 1ec5383 0100c3c 6 1 0 0131e8803c 04012568cc 005330de908 0272dde7c0 005330de908 03ad5be92 0c52a416e 000000000 03ad5be92 100000000 03ad5bf 1000000 0000000
00001015 0000 1fcadc5 0134730 0179c02 1 1 0 034ebe54c8 01c989f2b8 00518484780 039a3e0e20 00518484780 0a632242d 059cddbd3 000000000 0a632242d 100000000 0a63224 0000000 1000000
00001016 0000 1fa3959 1ecd38e 0126d77 6 1 0 03db0b4990 01362bb740 005113700d0 02cfd3f870 005113700d0 0c2ca0118 03d35fee8 000000000 0c2ca0118 100000000 0c2ca01 1000000 0000000
00001017 0000 1fcc7c7 1f4bf94 020271d 6 0 0 0239459148 00bff8f998 002f93e8ae0 04e7f7dcd0 004e7f7dcd0 0740868a9 02721104f 0326b4384 0a673ac2d 0cd94bc7c 0a673ac 0cd94bc 0326b44
00001018 0000 1fc12f0 1ffe0d6 01b5dc0 4 0 0 00083c90ba 00e1ec28b8 000ea28b972 042cfe1c00 0042cfe1c00 001f8f460 0361a79e5 063f648de 065ef3d3e 09c09b723 09c09b7 065ef3d 063f649
00001019 0000 000b9db 0137d8a 00fb420 1 1 0 0268c8c840 02bddcb850 00526a58090 02656c2200 00526a58090 077bdd695 08842296b 000000000 077bdd695 100000000 077bdd7 0000000 1000000
0000101a 0000 1f5f1c5 0095a0e 0164628 5 1 0 0278be1d3e 0110d76f70 00389958cae 0366147a80 00389958cae 0b2decc07 04d2133f9 000000000 0b2decc07 100000000 1000000 0000000 0b2decc
0000101b 0000 1ec9927 00a515d 01819af 5 1 0 02ba1b0d65 0313c9dcd4 005cde4ea39 03ad6b43f0 005cde4ea39 078463feb 087b9c015 000000000 078463feb 100000000 1000000 0000000 0784640
0000101c 0000 006e855 005ec6b 016369d 3 0 0 00cc5ba0dc 0190c913a3 0025d24b47f 0363b554d0 00363b554d0 03c4aae3c 0763e65ad 026bb760c 063062448 0d94489f5 026bb76 0630624 0d9448a
0000101d 0000 1f848b4 1fb6443 00eaf4a 4 1 0 0137cd46c5 012837b79c 0026004fe61 023d9f3aa0 0026004fe61 08347e159 07cb81ea7 000000000 08347e159 100000000 1000000 08347e1 0000000
0000101e 0000 006e521 1f1436f 01a9b9f 6 0 0 005e81537c 0386845eac 003e505b228 040f5ef2f0 0040f5ef2f0 01746e286 0de4ae23e 005371d9e 01c7e0024 0fac8e262 01c7e00 0fac8e2 005371e
0000101f 0000 012b376 001019b 019187d 3 1 0 0425b8fab4 004415a053 00469ce9b07 03d44c92d0 00469ce9b07 0f092aabe 00f6d5542 000000000 0f092aabe 100000000 0000000 0f092ab 1000000
00001020 0000 1f5bb58 1ff5499 0117c2c 4 0 0 002d4d1bff 0243009b74 002704db773 02ab0276c0 002ab0276c0 010fabb78 0d904513e 00b0079a5 01bfb351d 0f4ff865b 0f4ff86 01bfb35 00b007a
00001021 0000 1efed38 1edb376 018c5a1 4 1 0 04d61ca51a 0142c74a78 00618e3ef92 03c7a7e110 00618e3ef92 0cb0fba71 034f0458f 000000000 0cb0fba71 100000000 1000000 0cb0fba 0000000
00001022 0000 00628eb 1fc1c41 0145f37 2 0 0 00e559505c 01072c5617 001ec85a673 031bc75470 0031bc75470 049c7ed33 054a98330 030c747cf 07a8f3502 0cf38b832 030c748 0cf38b8 07a8f35
00001023 0000 00cf180 1fd395e 01dcf78 2 0 0 02987f03d8 00bbd186f2 00354508aca 048c783f80 0048c783f80 09215a3f3 0294a5da8 0224fff33 0b465a326 0ddb000ce 0224fff 0ddb001 0b465a3
00001024 0000 00dcffa 003a3b1 00e1ff4 3 1 0 02ae34c0dc 00f63e62d9 003a47323b5 0227c02b40 003a47323b5 0bc65164c 0439ae9b4 000000000 0bc65164c 100000000 0000000 0bc6516 1000000
00001025 0000 1fad34b 0084fca 00e8448 5 1 0 02325e8a5a 0016087030 0024866fa8a 02370f3c80 0024866fa8a 0f6592e58 009a6d1a8 000000000 0f6592e58 100000000 1000000 0000000 0f6592e
00001026 0000 1f5d11f 010ee88 0135002 5 1 0 04799b0fc8 0017e5bef8 0049180cec0 02f2654e20 0049180cec0 0fac4d8fc 0053b2704 000000000 0fac4d8fc 100000000 1000000 0000000 0fac4d9
00001027 0000 1f759e5 1f684b6 0151789 4 1 0 028186c1da 00ba061ac0 0033b8cdc9a 0337e75790 0033b8cdc9a 0c6744166 0398bbe9a 000000000 0c6744166 100000000 1000000 0c67441 0000000
00001028 0000 1ed2220 01137fe 01ef5fc 5 1 0 048d0570ae 020afe60a8 0069803d156 04b968c3c0 0069803d156 0b0af22e7 04f50dd19 000000000 0b0af22e7 100000000 1000000 0000000 0b0af23
00001029 0000 1fd4047 1fc7d09 0115c91 4 0 0 00ed981a0f 002a47744c 00117df8e5b 02a62fe010 002a62fe010 059afb317 00ff59ae6 04b2d5902 0a4dd0c19 0b4d2a6ff 0b4d2a7 0a4dd0c 04b2d59
0000102a 0000 0067775 1f4c93a 00e4fff 6 1 0 0000717280 02f6405170 002f6b1c3f0 022f14d8f0 002f6b1c3f0 000264792 0ffd9b86e 000000000 000264792 100000000 0002648 1000000 0000000
0000102b 0000 1fc26af 1f58ca8 018d72d 6 0 0 02430b3ef8 0080007ac8 002c30bb9c0 03ca554dd0 003ca554dd0 098c471d4 021c534cb 022bb2cb1 0bb7f9e85 0dd44d350 0bb7f9f 0dd44d3 022bb2d
0000102c 0000 1f84211 0041876 0105a20 5 0 0 01151b07e6 013b157430 00250307c16 027ec08200 0027ec08200 06f0f0dba 07e479f09 00954a99f 07863b759 0f6ab5662 0f6ab56 00954aa 07863b7
0000102d 0000 1ee47ef 1ec047e 01d3cc0 4 1 0 0548040ed2 016a411a70 006b2452942 0476150c00 006b2452942 0c9e72233 03618ddcd 000000000 0c9e72233 100000000 1000000 0c9e722 0000000
0000102e 0000 1fac73f 008ed50 0162e48 5 0 0 025c0099d0 0003f99658 0025ffa3028 03626fdc80 003626fdc80 0b275d652 0012ca8c9 0262ec073 0d8a496c5 0d9d13f8e 0d9d140 0262ec0 0d8a497
0000102f 0000 00bdb83 00de04e 01fee3b 3 0 0 00e15e3530 03aadd7d7e 0048c3bb2ae 04df49e0b0 004df49e0b0 02e41759e 0c0b29484 00885faef 036c7708d 0f77a0511 00885fb 036c771 0f77a05
00001030 0000 000b9ce 008a6a1 02104b7 1 0 0 00fa1dc004 014f2bbca4 00249497ca8 0509c82c70 00509c82c70 031a4d3d6 0428698ea 045ea49a0 0778f1d76 0ba15b660 0778f1d 045ea4a 0ba15b6
00001031 0000 1f3ae89 1ed49af 010a05a 4 1 0 04f2118e79 0058c5e894 0054ad7770d 028977bba0 0054ad7770d 0ef39e514 010c61aec 000000000 0ef39e514 100000000 1000000 0ef39e5 0000000
00001032 0000 1f8e053 00e3375 017e55c 1 1 0 0381ccb29c 003efcb12c 003c0c963c8 03a56f59c0 003c0c963c8 0ef379a53 010c865ad 000000000 0ef379a53 100000000 0ef379a 0000000 1000000
00001033 0000 00ceede 1f891f9 01cdf30 2 0 0 01fa761b04 01f6b3779f 003f12992a3 0467ce4300 00467ce4300 072f61d47 0721b9b0a 00d7723d8 0806d411f 0f288dc29 00d7724 0f288dc 0806d41
00001034 0000 1f299e5 00468bf 00e2ee5 5 1 0 012a532317 027bef60dc 003a64283f3 022a07d150 003a64283f3 051bebd10 0ae4142f0 000000000 051bebd10 100000000 1000000 0000000 051bebd
00001035 0000 0084be0 000489d 01354a1 3 0 0 01dc856dfc 00133106a5 001efb674a1 02f319d110 002f319d110 0a18dc772 00681a6b6 02bf848ec 0cd86105e 0d407b714 02bf849 0cd8610 0d407b7
00001036 0000 1fa1f06 1f27175 018f391 6 0 0 0323102e8c 007223bdac 0039533ec38 03ceaa5010 003ceaa5010 0d2ed9040 01dfab094 0078bdf96 0da796fd6 0f874206a 0da7970 0f87420 0078be0
00001037 0000 013d0fa 1f61d3f 01ebff9 2 1 0 033ab20f9c 029cdf3469 005d7914405 04b12aee90 005d7914405 08d81edc0 0727e1240 000000000 08d81edc0 100000000 0000000 1000000 08d81ee
00001038 0000 1f41430 00c6ca0 0104f93 5 1 0 0348a195a0 0116368f00 0045ed824a0 027d245e30 0045ed824a0 0c057be12 03fa841ee 000000000 0c057be12 100000000 1000000 0000000 0c057be
00001039 0000 1f512f8 002b837 020a2b4 5 0 0 00b802014f 022430e834 002dc32e983 04fad39740 004fad39740 024f36f16 06e1548aa 0367ba420 05b6f1336 0c9845be0 0c9845c 0367ba4 05b6f13
0000103a 0000 1fc6149 1fedf32 01012b2 4 0 0 004c5491fe 00adf1fa10 000fa468c0e 0273da4920 00273da4920 01f1f73ad 046ec9b48 04cf9f886 06c196c33 0b306077b 0b30607 06c196c 04cf9f9
0000103b 0000 00e93fe 1ee564c 00e3e2d 2 1 0 0100aeadc0 04ab1323d4 005abc1d194 022c5cbdd0 005abc1d194 02d434acd 0d2bcb533 000000000 02d434acd 100000000 0000000 1000000 02d434b
0000103c 0000 0086621 1f85518 01fa0c9 2 0 0 00e8bead78 0206ca8b28 002ef8938a0 04d378ab90 004d378ab90 0303a0774 06b7f7493 0322341fd 0625d4971 0cddcbe04 0322342 0cddcbe 0625d49
0000103d 0000 003d33f 009b11b 02289c4 1 0 0 0067b971f4 0227fcd8c4 0028fb64ab8 0545257840 00545257840 013ae8184 068bd4c84 041ca18fc 055789a80 0be35e704 055789b 041ca19 0be35e7
0000103e 0000 1fd8b42 008bb6d 023537f 1 0 0 01b74ca014 00977be674 0024ec88688 0563ed90f0 00563ed90f0 0517f597d 01c1a53f1 049332949 09ab282c6 0b6ccd6b7 09ab283 0493329 0b6ccd7
0000103f 0000 00c21be 0102284 020ec58 3 0 0 00a5097b80 0443af5524 004e8b8d0a4 0506102d80 00506102d80 020da0f23 0d94ec038 002eb9853 023c5a776 0fd1467ae 002eb98 023c5a7 0fd1468
00001040 0000 1f51956 0039ad5 022dc92 5 0 0 00f3e6f59d 0204c9cb8c 002f8b0c129 0551c80720 00551c80720 02dd9d766 0612689d3 0387fcf64 06659a6ca 0c780309d 0c78031 0387fcf 06659a7
00001041 0000 00c1a5b 1fcdf6a 01f8abb 2 0 0 025b5df1d0 00d397c506 0032ef5b6d6 04d01b28b0 004d01b28b0 07d5d3992 02bf6abd9 02b560d4b 0a8b346dd 0d4a9f2b6 02b560d 0d4a9f3 0a8b347
00001042 0000 1f19d49 1ef59fa 014645f 4 1 0 0466712bf6 0117b7cfb0 0057e28fba6 031c90bef0 0057e28fba6 0cd135cbd 032eca343 000000000 0cd135cbd 100000000 1000000 0cd135d 0000000
00001043 0000 0086739 01051cb 00d2ddf 1 1 0 003baeb344 04146f1af4 004501dce38 0202cfd6f0 004501dce38 00dd68370 0f2297c90 000000000 00dd68370 100000000 00dd683 0000000 1000000
00001044 0000 009e240 1eef438 012fa61 2 1 0 00027e4c60 0481561f08 00483d46b68 02e5546d10 00483d46b68 0008d5fc4 0ff72a03c 000000000 0008d5fc4 100000000 0000000 1000000 0008d60
00001045 0000 1f44a64 011fd9a 015f197 5 1 0 04c13fb8aa 004d824f18 0050ec207c2 03592d1a70 0050ec207c2 0f0acc587 00f533a79 000000000 0f0acc587 100000000 1000000 0000000 0f0acc6
00001046 0000 002e139 1f84874 00fc16f 6 0 0 005c506818 01adc9afc8 0020a1a17e0 026773fff0 0026773fff0 02665fca0 0b2c59739 0136a3614 039d032b4 0ec95c9ed 039d033 0ec95ca 0136a36
00001047 0000 00a33c0 1f5a8b1 020f453 2 0 0 00f7f6bd94 02bbad5027 003b3a40dbb 050747ea30 0050747ea30 0314ff0be 08b24d7f3 021c59ba8 053158c66 0de3a6459 021c59c 0de3a64 053158c
00001048 0000 00d8015 1fc88b4 00e1acd 2 1 0 02a1c93788 00ea82a52c 0038c4bdcb4 0226f6e7d0 0038c4bdcb4 0bde77471 042188b8f 000000000 0bde77471 100000000 0000000 1000000 0bde774
00001049 0000 00e90c9 00232b8 00e5039 3 1 0 030b17c8f8 0094b9a378 0039fd16c70 022f1db290 0039fd16c70 0d6f6de22 0290921de 000000000 0d6f6de22 100000000 0000000 0d6f6de 1000000
0000104a 0000 1f4ff08 1f840d9 0193ccc 4 0 0 020c2465bf 017eb26ff4 0038ad6d5b3 03d9d6e0c0 003d9d6e0c0 0881b96ca 06360b02e 00a41dc84 0925d734e 0f5be237c 0f5be23 0925d73 00a41dd
0000104b 0000 1fdf662 00fc5a7 00ff741 1 1 0 028cedb71c 019e26b37c 0042b146a98 026faa5b10 0042b146a98 09ca466f0 0635b9910 000000000 09ca466f0 100000000 09ca467 0000000 1000000
0000104c 0000 00cd60e 00c8c68 00d2535 3 1 0 0147a09630 035107e8a8 00498a87ed8 02017d6650 00498a87ed8 04747c3de 0b8b83c22 000000000 04747c3de 100000000 0000000 04747c4 1000000
0000104d 0000 1fca775 007f044 018b748 1 0 0 01d097ccd8 00487fabc8 002191778a0 03c5776c80 003c5776c80 07b30a2a0 01339390c 038cb122a 0b3fbb4ca 0c734edd6 0b3fbb5 038cb12 0c734ee
0000104e 0000 006ba67 00386cb 012184a 3 0 0 0112ee380c 00ee9b1d03 0020189550f 02c2d4caa0 002c2d4caa0 0639304e4 0566b121c 02300f480 08693f964 0dcff0b80 02300f5 08693f9 0dcff0c
0000104f 0000 1f3316e 1f7ae04 017273f 4 1 0 0232f3135c 01d4f25a00 00407e56d5c 03886d0cf0 00407e56d5c 08ba9127d 07456ed83 000000000 08ba9127d 100000000 1000000 08ba912 0000000
00001050 0000 01287e1 0091d9d 01bcbc8 3 1 0 03096be494 0268c4a3a5 00572308839 043dc83480 00572308839 08ebfe088 071401f78 000000000 08ebfe088 100000000 0000000 08ebfe1 1000000
00001051 0000 009244f 1edcd24 0137e1b 6 1 0 004ff90548 047f47ef18 004cf40f460 02f96dfeb0 004cf40f460 010a0b66e 0ef5f4992 000000000 010a0b66e 100000000 010a0b6 1000000 0000000
00001052 0000 1ed9741 1f9d3e8 01a1759 4 1 0 01a19d63d8 0365dddb88 005077b3f60 03fb300490 005077b3f60 05309a140 0acf65ec0 000000000 05309a140 100000000 1000000 05309a1 0000000
00001053 0000 1f68838 00cac9e 01cc1f4 5 0 0 03598b4e4e 007e031de8 003d78e6c36 0463584b40 00463584b40 0c36d2bd8 01cb78e8f 00feda2cd 0d35acea5 0f0125d34 0f0125d 00feda3 0d35acf
00001054 0000 00296af 1faed55 01558c2 6 0 0 0013ee62b4 0143489e84 00157370138 0341db1a20 00341db1a20 0061e7879 06340215a 04b50b317 0516f2b90 0b4af4cea 0516f2c 0b4af4d 04b50b3
00001055 0000 00a4cce 1f1ed96 01f5ff4 2 0 0 007f7d5c88 03b81be5fa 00437994282 04c9942b40 004c9942b40 01aa1524a 0c6e09c02 00f3f08da 029e05b24 0f0c0f726 00f3f09 0f0c0f7 029e05b
00001056 0000 0037da8 006ad91 0110a83 1 0 0 00155cc154 01ae7218d4 001c3ceda28 0299aa9d30 00299aa9d30 00837284a 0a58a1d0d 0291f5d55 03156859f 0d6e0a2ac 0315686 0291f5d 0d6e0a3
00001057 0000 0112d33 1ff6098 0200b83 2 0 0 03d95ffa28 002a2173a8 00403816dd0 04e3c1ad30 004e3c1ad30 0c985874c 0089dc2cb 016ee5af5 0e073e241 0e911a50c 016ee5b 0e911a5 0e073e2
00001058 0000 004231e 00db68e 01ff29e 1 0 0 00dd79d5c8 02c24d2168 0039fc6f730 04dff53be0 004dff53be0 02d6eb792 090e31f71 020d7147f 04e45cc11 0df28eb82 04e45cc 020d714 0df28ec
00001059 0000 0071b01 1f3ecc8 01923a1 2 0 0 0007dc2038 03310057f8 00338dc7830 03d5ffc110 003d5ffc110 0020c8beb 0d4fc7e43 0147b7ae9 0168806d4 0eb848517 0147b7b 0eb8485 0168807
0000105a 0000 00a8551 01027a9 020e2f1 3 0 0 0045f5e124 04450b6991 0048b014ab5 0504a0e610 00504a0e610 00df111ef 0d9d23eb0 00c1e57b1 01a0f69a0 0f3e1a850 00c1e58 01a0f6a 0f3e1a8
0000105b 0000 013522c 1f94ef9 0195014 2 1 0 0389ba4154 01c4bfb29f 0054e79f3f3 03dcc80d40 0054e79f3f3 0aaae5d2d 05551a2d3 000000000 0aaae5d2d 100000000 0000000 1000000 0aaae5d
0000105c 0000 1f9bf9e 0106adb 01ee5fe 1 0 0 0399ab268c 00bd124a2c 00456bd70b8 04b6f811e0 004b6f811e0 0c37cc19a 0281a335e 00a348584 0cdb1471e 0f5cb7a7c 0cdb147 00a3486 0f5cb7a
0000105d 0000 004208c 010a5e1 012f658 1 1 0 0141585434 0324fe6a74 0046656bea8 02e4b6cd80 0046656bea8 049097418 0b6f68be8 000000000 049097418 100000000 0490974 0000000 1000000
0000105e 0000 00b7bc9 1f23a54 01840ac 2 1 0 00cefa2ae8 03a3d3828c 00472cdad74 03b35e3ec0 00472cdad74 02e872681 0d178d97f 000000000 02e872681 100000000 0000000 1000000 02e8727
0000105f 0000 1edba57 013da4d 013e27a 5 1 0 053f3d43d5 018f0cf194 006ce4a3569 0308bebda0 006ce4a3569 0c55dc445 03aa23bbb 000000000 0c55dc445 100000000 1000000 0000000 0c55dc4
00001060 0000 0108856 1f588fb 01e007b 2 1 0 0266b239ec 02c40ee14d 0052ac11b39 0493f2c4b0 0052ac11b39 076f72fd0 08908d030 000000000 076f72fd0 100000000 0000000 1000000 076f730
00001061 0000 013b1fd 1fd1158 016c8ac 2 1 0 041ed3b518 00c66584e8 004e5393a00 0379febec0 004e5393a00 0d7790fcc 02886f034 000000000 0d7790fcc 100000000 0000000 1000000 0d77910
00001062 0000 0048009 013e15c 02181de 1 1 0 0198d56cd8 03a8318b88 0054106f860 051ce0efe0 0054106f860 04dd048cc 0b22fb734 000000000 04dd048cc 100000000 04dd049 0000000 1000000
00001063 0000 1f7f676 00b0667 023f0e1 5 0 0 02e9f42eff 0061fa59a4 0034bee88a3 057bf15510 0057bf15510 0880519e9 011dd9b4b 0330ea566 0bb13bf4f 0ccf15a9a 0ccf15b 0330ea5 0bb13bf
00001064 0000 1f466c2 012ae0e 0208054 5 1 0 04efe2913e 002fb31738 0051f95a876 04f594d140 0051f95a876 0f6b097f2 0094f680e 000000000 0f6b097f2 100000000 1000000 0000000 0f6b098
00001065 0000 00b0fd9 1f8c6c6 0168504 2 1 0 0193ccb4d0 01e8bef54a 0037c8baa1a 036fabec40 0037c8baa1a 073d15e79 08c2ea187 000000000 073d15e79 100000000 0000000 1000000 073d15e
00001066 0000 01233fc 00e4741 0189c29 3 1 0 02479392cc 03c6130ce9 0060da69fb5 03c1540190 0060da69fb5 06067ecb5 09f98134b 000000000 06067ecb5 100000000 0000000 06067ed 1000000
