# id tag_id v_alpha v_beta cmp0 cmp1 cmp2 b0 b1 b2 sector X Y Z a_num b_num
0000000f 000f 0006147 000a87c 000a87c fffffffff ffeb6edd1 1 0 0 1 002c87addc 002c875ad8 ffffffaa88 ffffffaa88 002c875ad8
00000010 0010 000007b 1fffe38 1fffe38 000028d5b 00000ed45 0 1 1 6 ffff877af8 ffffdfe568 ffffa79758 0000201a98 00005868a8
00000011 0011 000007b 1fffe38 1fffe38 000028d5b 00000ed45 0 1 1 6 ffff877af8 ffffdfe568 ffffa79758 0000201a98 00005868a8
00000012 0012 00061a8 000a923 000a923 0000000fa ffeb5a6aa 1 1 0 3 002cb3d11b 002cb39fbc ffffff883c 00000077c4 002cb3d11b
00000013 0013 00061a8 000a925 000a925 fffffff06 ffeb5a4b6 1 0 0 1 002cb4586d 002cb3e364 ffffffcbe4 ffffffcbe4 002cb3e364
00000014 0014 1ffff67 0000109 0000109 ffffdfa6d fffffffff 1 0 0 1 00004609f1 ffffffff9c 000046094c 000046094c ffffffff9c
00000015 0015 1ffff06 00001b1 00001b1 ffffcb24c 000000000 1 0 0 1 00007270d9 ffffffff24 0000727004 0000727004 ffffffff24
00000016 0016 1ffff9f 00000a8 00000a8 ffffeb7df 000000001 1 0 1 5 00002c66e8 ffffffff88 00002c66b8 00002c66e8 0000000078
00001000 0000 1ff5dfb 00bf004 00bf004 ff34591a3 ff569a68d 1 0 0 1 0327b27ea4 016ebdf258 01b8e89c48 01b8e89c48 016ebdf258
00001001 0000 1f5c31d 00fc75b 00fc75b fdf46552f 001e84d15 1 0 1 5 042b976c13 ffbde43d94 046da36724 042b976c13 00421bc26c
00001002 0000 1f08546 002228a 002228a fe3bbb0a2 01818d9d6 1 0 1 5 009072eb1a fcbd3961d8 03d33766b8 009072eb1a 0342c69e28
00001003 0000 0087396 0082f3a 0082f3a 0064d6212 fe9b660a6 1 1 0 3 0229c35b4a 0304123318 ff25a8f8f8 00da570708 0229c35b4a
00001004 0000 1f3c62a 1febf1c 1febf1c fec8b8bb2 015e7319e 0 0 1 4 ffab307d7c fd093c0c20 02a1f5b240 0054cf8284 02a1f5b240
00001005 0000 1fb774a 1f9457a 1f9457a ffee6eb06 00e3d62b2 0 0 1 4 fe38bdcb8a fe12b7daf8 00260cab18 01c7423476 00260cab18
00001006 0000 00d0870 1f7a0d5 1f7a0d5 01e38356e ff221aa8e 0 1 0 2 fdc990eb9d 01e07307e4 fbe92642e4 01e07307e4 02366f1463
00001007 0000 0114050 006552e 006552e 016fe9864 fdca309c4 1 1 0 3 01ac79455e 04c909c798 fce3692898 031c96d768 01ac79455e
00001008 0000 1f19640 1f4d58c 1f4d58c ff2869788 023485308 0 0 1 4 fd0c849d6c fb39c399f0 01d2cc2df0 02f37b6294 01d2cc2df0
00001009 0000 1ff0c00 1ec93d1 1ec93d1 0115af1e6 0149459e6 0 1 1 6 fadddd47f9 fd371f7a14 fda6d13a14 02c8e085ec 02592ec5ec
0000100a 0000 1f1bc3e 00e2fcf 00e2fcf fda04b4b8 00a45eafc 1 0 1 5 03bfe0bca7 fe9c17173c 0523bb759c 03bfe0bca7 0163e8e8c4
0000100b 0000 1f814ad 00cdce9 00cdce9 fe60b3d13 000d54bd9 1 0 1 5 03664ed0d1 ffe31c72ac 038325813c 03664ed0d1 001ce38d54
0000100c 0000 1f93112 1ef7295 1ef7295 004a619f0 01bae1b0c 0 1 1 6 fba00fa35d fc41234f14 ff5efce1b4 03bedcb0ec 00a1031e4c
0000100d 0000 1f0f508 1f4a269 1f4a269 ff1a7d7fe 0248af2ee 0 0 1 4 fcff00b251 fb0e1b54b4 01f0f0bb34 0300ff4daf 01f0f0bb34
0000100e 0000 001a3bf 0000191 0000191 002c46e75 ffd388257 1 1 0 3 000069fbb9 0060477c7c ffa0227dac 005fdd8254 000069fbb9
0000100f 0000 1fed716 01023b6 01023b6 fee46ec7a ff233540e 1 0 0 1 0444003526 01de02b9c8 0265ed57a8 0265ed57a8 01de02b9c8
00001010 0000 00a0079 0059292 0059292 00b79aa15 fe9a410c3 1 1 0 3 017909f862 03068de4c0 fe72768110 018d897ef0 017909f862
00001011 0000 0000bb2 1fcf240 1fcf240 0030f3592 002e7a56e 0 1 1 6 ff3162ac40 ff9b6022b0 ff96059750 00649fdd50 0069fa68b0
00001012 0000 1ff11d4 1f12cd1 1f12cd1 00ce7637a 0100d1452 0 1 1 6 fc14f148f9 fdd3fcabf4 fe41037034 022c03540c 01befc8fcc
00001013 0000 1ff1eda 1f31bb3 1f31bb3 00b1a21ec 00e13c478 0 1 1 6 fc97bd222b fe185cb8ac fe7f6d4dcc 01e7a34754 018092b234
00001014 0000 0062333 1ec5383 1ec5383 01d97fb55 008d4e8cf 0 1 1 6 faccde6a7b fece177fc4 fbfeda9734 0131e8803c 04012568cc
00001015 0000 1fcadc5 0134730 0134730 fe78e6555 ff2ca90eb 1 0 0 1 05185b8eb0 01c989f2b8 034ebe54c8 034ebe54c8 01c989f2b8
00001016 0000 1fa3959 1ecd38e 1ecd38e 008f466dd 01c7e67cb 0 1 1 6 faeeb5d2be fc24f4b670 fec9d448c0 03db0b4990 01362bb740
00001017 0000 1fcc7c7 1f4bf94 1f4bf94 0058ad10f 0106f01e1 0 1 1 6 fd06b634b4 fdc6ba6eb8 ff40070668 0239459148 00bff8f998
00001018 0000 1fc12f0 1ffe0d6 1ffe0d6 ff97a76f4 006c26714 0 0 1 4 fff7c36f46 ff15d765b8 00e1ec28b8 00083c90ba 00e1ec28b8
00001019 0000 000b9db 0137d8a 0137d8a fee31c2a7 febbd0bd1 1 0 0 1 0526b8fe1a 02bddcb850 0268c8c840 0268c8c840 02bddcb850
0000101a 0000 1f5f1c5 0095a0e 0095a0e fe5dbfc89 007e0201f 1 0 1 5 0278be1d3e feef289090 03898c32a0 0278be1d3e 0110d76f70
0000101b 0000 1ec9927 00a515d 00a515d fd51b9625 016bd8037 1 0 1 5 02ba1b0d65 fcec36232c 05cdda98dc 02ba1b0d65 0313c9dcd4
0000101c 0000 006e855 005ec6b 005ec6b 005e61747 fee8827bd 1 1 0 3 0190c913a3 025d1ec814 ff33a45f24 00cc5ba0dc 0190c913a3
0000101d 0000 1f848b4 1fb6443 1fb6443 ff7730f06 0118d1e1e 0 0 1 4 fec832b93b fd9fff9d5c 012837b79c 0137cd46c5 012837b79c
0000101e 0000 006e521 1f1436f 1f1436f 01a0db26b 002ba98c9 0 1 1 6 fc1aeb9147 ffa17eac84 fc797ba154 005e81537c 0386845eac
0000101f 0000 012b376 001019b 001019b 01ea5f938 fdf62e40c 1 1 0 3 004415a053 0469cd996c fbda47054c 0425b8fab4 004415a053
00001020 0000 1f5bb58 1ff5499 1ff5499 fef49426e 0120582be 0 0 1 4 ffd2b2e401 fd8fb2f3f4 0243009b74 002d4d1bff 0243009b74
00001021 0000 1efed38 1edb376 1edb376 ff6aefa7c 02d0e830c 0 0 1 4 fb29e35ae6 f9e72e5cf8 0142c74a78 04d61ca51a 0142c74a78
00001022 0000 00628eb 1fc1c41 1fc1c41 00e379e01 ff961330b 0 1 0 2 fef8d3a9e9 00e559505c fe137e3d4c 00e559505c 01072c5617
00001023 0000 00cf180 1fd395e 1fd395e 0189a73b4 fecd180b4 0 1 0 2 ff442e790e 02987f03d8 fcabb23bd8 02987f03d8 00bbd186f2
00001024 0000 00dcffa 003a3b1 003a3b1 013ceeb00 fe5155f4c 1 1 0 3 00f63e62d9 03a46f8004 fd51cb3f24 02ae34c0dc 00f63e62d9
00001025 0000 1fad34b 0084fca 0084fca fef217697 000a2b2e1 1 0 1 5 02325e8a5a ffe9f78fd0 02485eaac0 02325e8a5a 0016087030
00001026 0000 1f5d11f 010ee88 010ee88 fde3dc49f 000b059c1 1 0 1 5 04799b0fc8 ffe81a4108 04916fe038 04799b0fc8 0017e5bef8
00001027 0000 1f759e5 1f684b6 1f684b6 ffaa17299 017e359ef 0 0 1 4 fd7e793e26 fcc47c9eb0 00ba061ac0 028186c1da 00ba061ac0
00001028 0000 1ed2220 01137fe 01137fe fcf460a14 00f1899d4 1 0 1 5 048d0570ae fdf5019f58 0697f29958 048d0570ae 020afe60a8
00001029 0000 1fd4047 1fc7d09 1fc7d09 ffec79d4d 008142d1f 0 0 1 4 ff1267e5f1 fee823f49c 002a47744c 00ed981a0f 002a47744c
0000102a 0000 0067775 1f4c93a 1f4c93a 015e38a41 000037077 0 1 1 6 fd0943054a ffff8e8d80 fd09bfae90 0000717280 02f6405170
0000102b 0000 1fc26af 1f58ca8 1f58ca8 003b211ef 010b735f1 0 1 1 6 fd3ce9d2e8 fdbcf4c108 ff7fff8538 02430b3ef8 0080007ac8
0000102c 0000 1f84211 0041876 0041876 feee7db85 009185e03 1 0 1 5 01151b07e6 fec4ea8bd0 02502c63a0 01151b07e6 013b157430
0000102d 0000 1ee47ef 1ec047e 1ec047e ff58b4833 0317bf1b5 0 0 1 4 fab7fbf12e f94dced240 016a411a70 0548040ed2 016a411a70
0000102e 0000 1fac73f 008ed50 008ed50 fee73416f 0001d3e51 1 0 1 5 025c0099d0 fffc0669a8 025ff142d8 025c0099d0 0003f99658
0000102f 0000 00bdb83 00de04e 00de04e 006813c67 fde64ab41 1 1 0 3 03aadd7d7e 048c2dd260 ff1ea1cad0 00e15e3530 03aadd7d7e
00001030 0000 000b9ce 008a6a1 008a6a1 ff8c78c34 ff6530158 1 0 0 1 0249522349 014f2bbca4 00fa1dc004 00fa1dc004 014f2bbca4
00001031 0000 1f3ae89 1ed49af 1ed49af ffd7040d3 0271bd561 0 0 1 4 fb0dee7187 fab53b3f44 0058c5e894 04f2118e79 0058c5e894
00001032 0000 1f8e053 00e3375 00e3375 fe6152c21 ffe2e535b 1 0 0 1 03c0d7973d 003efcb12c 0381ccb29c 0381ccb29c 003efcb12c
00001033 0000 00ceede 1f891f9 1f891f9 01d217854 ff1616d58 0 1 0 2 fe094c8861 01fa761b04 fc0edddb64 01fa761b04 01f6b3779f
00001034 0000 1f299e5 00468bf 00468bf fe50801cf 0125b6925 1 0 1 5 012a532317 fd84109f24 03a63e1b34 012a532317 027bef60dc
00001035 0000 0084be0 000489d 000489d 00dc16c8e ff1b0c0ce 1 1 0 3 00133106a5 01efb62c04 fe237a9204 01dc856dfc 00133106a5
00001036 0000 1fa1f06 1f27175 1f27175 0034bace4 0172eba98 0 1 1 6 fc6abe853d fcdcefd174 ff8ddc4254 0323102e8c 007223bdac
00001037 0000 013d0fa 1f61d3f 1f61d3f 02b2be754 fe822f9a0 0 1 0 2 fd6320cb97 033ab20f9c fa28789ebc 033ab20f9c 029cdf3469
00001038 0000 1f41430 00c6ca0 00c6ca0 fdfb410f0 00807c690 1 0 1 5 0348a195a0 fee9c97100 045ecbb800 0348a195a0 0116368f00
00001039 0000 1f512f8 002b837 002b837 feadd2fc2 00fd304d2 1 0 1 5 00b802014f fddbcf17cc 02dc30314c 00b802014f 022430e834
0000103a 0000 1fc6149 1fedf32 1fedf32 ffafa95a5 007397cb3 0 0 1 4 ffb3ab6e02 ff05ba94c0 00adf1fa10 004c5491fe 00adf1fa10
0000103b 0000 00e93fe 1ee564c 1ee564c 029e80a66 ff897692a 0 1 0 2 fb54ecdc2c 0100aeadc0 fa544fd820 0100aeadc0 04ab1323d4
0000103c 0000 0086621 1f85518 1f85518 015b1a461 ff94828bf 0 1 0 2 fdf93574d8 00e8bead78 fd107e7248 00e8bead78 0206ca8b28
0000103d 0000 003d33f 009b11b 009b11b ffd015931 ff010be13 1 0 0 1 028fbffbd3 0227fcd8c4 0067b971f4 0067b971f4 0227fcd8c4
0000103e 0000 1fd8b42 008bb6d 008bb6d ff3518230 ffba06cec 1 0 0 1 024ed141f5 00977be674 01b74ca014 01b74ca014 00977be674
0000103f 0000 00c21be 0102284 0102284 004c35d76 fdbb938ba 1 1 0 3 0443af5524 04e8a8ae20 ff5af68480 00a5097b80 0443af5524
00001040 0000 1f51956 0039ad5 0039ad5 fea0aa674 00eeaf188 1 0 1 5 00f3e6f59d fdfb363474 02f8ad2654 00f3e6f59d 0204c9cb8c
00001041 0000 00c1a5b 1fcdf6a 1fcdf6a 017866667 fee953e91 0 1 0 2 ff2c683afa 025b5df1d0 fcd10d69c0 025b5df1d0 00d397c506
00001042 0000 1f19d49 1ef59fa 1ef59fa ff7ed2a55 028971963 0 0 1 4 fb998ed40a fa81e7aa60 0117b7cfb0 0466712bf6 0117b7cfb0
00001043 0000 0086739 01051cb 01051cb ffe46b72b fe1d98859 1 0 0 1 04502e2003 04146f1af4 003baeb344 003baeb344 04146f1af4
00001044 0000 009e240 1eef438 1eef438 0215d2f90 fffedd310 0 1 0 2 fb7ea9e0f8 00027e4c60 fb7c3ca060 00027e4c60 0481561f08
00001045 0000 1f44a64 011fd9a 011fd9a fdaa02ac0 0023c8478 1 0 1 5 04c13fb8aa ffb27db0e8 050eb00a28 04c13fb8aa 004d824f18
00001046 0000 002e139 1f84874 1f84874 00c683021 002aa4d4f 0 1 1 6 fdf5de3094 ffa3af97e8 fe52365038 005c506818 01adc9afc8
00001047 0000 00a33c0 1f5a8b1 1f5a8b1 01b5acae6 ff8d7bb66 0 1 0 2 fd4452afd9 00f7f6bd94 fc4c664994 00f7f6bd94 02bbad5027
00001048 0000 00d8015 1fc88b4 1fc88b4 01a3823bd fec8cdcb3 0 1 0 2 ff157d5ad4 02a1c93788 fc73b79a98 02a1c93788 00ea82a52c
00001049 0000 00e90c9 00232b8 00232b8 0167d5c49 fe5379457 1 1 0 3 0094b9a378 039fcf39b8 fcf4e83708 030b17c8f8 0094b9a378
0000104a 0000 1f4ff08 1f840d9 1f840d9 ff4f4089e 01a2d4f8e 0 0 1 4 fdf3db9a41 fc7530e974 017eb26ff4 020c2465bf 017eb26ff4
0000104b 0000 1fdf662 00fc5a7 00fc5a7 fed26b6ac ff40b3f28 1 0 0 1 042b24303f 019e26b37c 028cedb71c 028cedb71c 019e26b37c
0000104c 0000 00cd60e 00c8c68 00c8c68 00974f01e fde08d4c2 1 1 0 3 035107e8a8 04989bf270 feb85f69d0 0147a09630 035107e8a8
0000104d 0000 1fca775 007f044 007f044 ff2969a7d ffde820b3 1 0 0 1 02191f68e4 00487fabc8 01d097ccd8 01d097ccd8 00487fabc8
0000104e 0000 006ba67 00386cb 00386cb 007efa5f9 ff12d158b 1 1 0 3 00ee9b1d03 020185ce44 feed11c7f4 0112ee380c 00ee9b1d03
0000104f 0000 1f3316e 1f7ae04 1f7ae04 ff276ab26 01dc9750a 0 0 1 4 fdcd0ceca4 fbf822e4a0 01d4f25a00 0232f3135c 01d4f25a00
00001050 0000 01287e1 0091d9d 0091d9d 01670e83f fd7c1411d 1 1 0 3 0268c4a3a5 0572276a9c fcf6941b6c 03096be494 0268c4a3a5
00001051 0000 009244f 1edcd24 1edcd24 0213c1477 0024f4139 0 1 1 6 fb30acd8c4 ffb006fab8 fb80b810e8 004ff90548 047f47ef18
00001052 0000 1ed9741 1f9d3e8 1f9d3e8 fe6e3e461 0252a3a7f 0 0 1 4 fe5e629c28 faf88aecb8 0365dddb88 01a19d63d8 0365dddb88
00001053 0000 1f68838 00cac9e 00cac9e fe39bd46c 003a306fc 1 0 1 5 03598b4e4e ff81fce218 03d781bf98 03598b4e4e 007e031de8
00001054 0000 00296af 1faed55 1faed55 0095518fd 000935cff 0 1 1 6 fea8c3ec1d ffec119d4c febcb7617c 0013ee62b4 0143489e84
00001055 0000 00a4cce 1f1ed96 1f1ed96 01f29e3f2 ffc521316 0 1 0 2 fc47e41a06 007f7d5c88 fbc874cfe8 007f7d5c88 03b81be5fa
00001056 0000 0037da8 006ad91 006ad91 fff62098e ff392f73e 1 0 0 1 01c3d587b9 01ae7218d4 00155cc154 00155cc154 01ae7218d4
00001057 0000 0112d33 1ff6098 1ff6098 01da91ed3 fe38e384d 0 1 0 2 ffd5de8c58 03d95ffa28 fbfc7f3198 03d95ffa28 002a2173a8
00001058 0000 004231e 00db68e 00db68e ff99b1f12 feb9c5396 1 0 0 1 039fd4adbe 02c24d2168 00dd79d5c8 00dd79d5c8 02c24d2168
00001059 0000 0071b01 1f3ecc8 1f3ecc8 017cf7161 fffc617ff 0 1 0 2 fcceffa808 0007dc2038 fcc72f9b08 0007dc2038 03310057f8
0000105a 0000 00a8551 01027a9 01027a9 00204c2f7 fde6dc6f5 1 1 0 3 04450b6991 048af1230c ffba0a1edc 0045f5e124 04450b6991
0000105b 0000 013522c 1f94ef9 1f94ef9 02736dd42 fe5dae46a 0 1 0 2 fe3b404d61 0389ba4154 fab18cbd14 0389ba4154 01c4bfb29f
0000105c 0000 1f9bf9e 0106adb 0106adb fe564c060 ffa8a8be4 1 0 0 1 0456cddb93 00bd124a2c 0399ab268c 0399ab268c 00bd124a2c
0000105d 0000 004208c 010a5e1 010a5e1 ff6b90f12 fe8c2f57a 1 0 0 1 0466676489 0324fe6a74 0141585434 0141585434 0324fe6a74
0000105e 0000 00b7bc9 1f23a54 1f23a54 020df68f1 ffa06aaff 0 1 0 2 fc5c2c7d74 00cefa2ae8 fb8d401838 00cefa2ae8 03a3d3828c
0000105f 0000 1edba57 013da4d 013da4d fcdb4fdf5 00b84a3a7 1 0 1 5 053f3d43d5 fe70f30e6c 06ce365b1c 053f3d43d5 018f0cf194
00001060 0000 0108856 1f588fb 1f588fb 0262ed458 fee41a16c 0 1 0 2 fd3bf11eb3 0266b239ec fad5495bcc 0266b239ec 02c40ee14d
00001061 0000 013b1fd 1fd1158 1fd1158 0242d1cfd fe18d0323 0 1 0 2 ff399a7b18 041ed3b518 fb1ac9b4a8 041ed3b518 00c66584e8
00001062 0000 0048009 013e15c 013e15c ff4327b61 fe4f95cef 1 0 0 1 05411ad9bc 03a8318b88 0198d56cd8 0198d56cd8 03a8318b88
00001063 0000 1f7f676 00b0667 00b0667 fe7a39d00 002d3e1d4 1 0 1 5 02e9f42eff ff9e05a65c 034be3823c 02e9f42eff 0061fa59a4
00001064 0000 1f466c2 012ae0e 012ae0e fda23d476 001603832 1 0 1 5 04efe2913e ffd04ce8c8 051f82fa68 04efe2913e 002fb31738
00001065 0000 00b0fd9 1f8c6c6 1f8c6c6 019c3b0ad ff458149b 0 1 0 2 fe17410ab6 0193ccb4d0 fc837b8f20 0193ccb4d0 01e8bef54a
00001066 0000 01233fc 00e4741 00e4741 010d857c2 fd3447d4a 1 1 0 3 03c6130ce9 060d985874 fdb86c6d34 02479392cc 03c6130ce9
00001067 0000 0004c84 1f80409 1f80409 0084d7a7a 0074aa3f2 0 1 1 6 fde3c904f1 ff036bd6d4 fee0652a14 00fc94292c 011f9ad5ec
00001068 0000 00b5eb9 00388e3 00388e3 00fc7893b fe9511b69 1 1 0 3 00ef28c6db 0311c8c6d4 fddd5c7724 0222a388dc 00ef28c6db
00001069 0000 1fa6a6d 00c29f0 00c29f0 feaad0dfd ffd910943 1 0 0 1 0337017f70 0054468d78 02e2aec808 02e2aec808 0054468d78
0000106a 0000 1f15549 1f7c941 1f7c941 fef36b6ff 020d4360d 0 0 1 4 fdd43fdee9 fb8ec1382c 024586dd7c 022bc02117 024586dd7c
0000106b 0000 004c175 0113195 0113195 ff740cb63 fe72a5d99 1 0 0 1 048b53ba5d 035c48a3dc 012ef9e4ec 012ef9e4ec 035c48a3dc
0000106c 0000 006d371 1f3f2e7 1f3f2e7 017506c8b 000392849 0 1 1 6 fcd09dcf7f fff84a1364 fcd85fc934 0007b5ec9c 0327a036cc
0000106d 0000 1f80c15 01221f6 01221f6 fe0d74549 ffbbe663f 1 0 0 1 04cadbcd66 009368c430 043760e740 043760e740 009368c430
0000106e 0000 00113ee 1f824d1 1f824d1 0097ec174 005d95658 0 1 1 6 fdec7300f9 ff35652f64 feb715acc4 00ca9ad09c 0148ea533c
0000106f 0000 1f2f63d 0051ddc 0051ddc fe4f35455 0110e59fb 1 0 1 5 015a314a3c fdb1221c68 03a90a0ff8 015a314a3c 024edde398
00001070 0000 0130b11 1ee05fd 1ee05fd 031c3deaf ff1586f2d 0 1 0 2 fb3fb32b05 01fbb2fe9c f94412266c 01fbb2fe9c 04c04cd4fb
00001071 0000 1effc2f 001f184 001f184 fe303b097 019309999 1 0 1 5 00837dfc24 fc975e6738 03ec1da368 00837dfc24 0368a198c8
00001072 0000 1ff70b6 1fffcb4 1fffcb4 fff10dc0e 000f59462 0 0 1 4 ffff20eed4 ffdec4a120 00205c5100 0000df112c 00205c5100
00001073 0000 1f50cce 1ef218d 1ef218d ffdf3e4bc 022fe93e0 0 0 1 4 fb8aa50d15 fb43c13c14 0046f4af74 04755af2eb 0046f4af74
00001074 0000 00fbd1b 1f217ad 1f217ad 02833bbb9 ff2f60663 0 1 0 2 fc5303e835 01c3b94e4c fa8f58823c 01c3b94e4c 03acfc17cb
00001075 0000 1ff12dd 1fe2b0d 1fe2b0d 00038dd1b 0035b0d81 0 1 1 6 ff840ed295 ff8bc198fc fff84f0e8c 00743e6704 0007b0f174
00001076 0000 1f9bd91 1f2bdaf 1f2bdaf 0025c655b 0178920d9 0 1 1 6 fc7ee40587 fcd0b40c04 ffae3d3bd4 032f4bf3fc 0051c2c42c
00001077 0000 1fa644b 0032075 0032075 ff375f099 0066eaae3 1 0 1 5 00d38f0c3d ff212a806c 01b2616b5c 00d38f0c3d 00ded57f94
00001078 0000 00f5076 1f7be43 1f7be43 021f74a28 fee291afc 0 1 0 2 fdd158233b 026a02b48c fb675db06c 026a02b48c 022ea7dcc5
00001079 0000 1ffb4dc 011d4fd 011d4fd fee16e90a fef1518d2 1 0 0 1 04b683d205 024a063924 026c6bc3e4 026c6bc3e4 024a063924
0000107a 0000 1fa7c79 1ed99d5 1ed99d5 008a44ea7 01b4b3d55 0 1 1 6 fb231d4c9d fc4e852b3c fed4aa878c 03b17ad4c4 012b557874
0000107b 0000 1ec09a6 1ee8498 1ee8498 fef4ed556 032d631ca 0 0 1 4 fb61295058 f91ef2bc70 0242480f50 049ed6afa8 0242480f50
0000107c 0000 00b67e9 00d8da8 00d8da8 0060e6b09 fdf78e8d7 1 1 0 3 0395057be8 0466cc7378 ff2e2b7ac8 00d1d48538 0395057be8
0000107d 0000 1fc8523 000d9bd 000d9bd ff9488da1 0050e2d3b 1 0 1 5 00398c34c5 ff50dea84c 00e8acb2bc 00398c34c5 00af2157b4
0000107e 0000 0117222 1eeee85 1eeee85 02e2d1da0 ff329069c 0 1 0 2 fb7d2844cd 01bcd42354 f9c06532f4 01bcd42354 0482d7bb33
0000107f 0000 00f2e2d 1f3f16e 1f3f16e 0257354b1 ff2192077 0 1 0 2 fcd03a2b9e 01e19cb9d0 faeea98060 01e19cb9d0 032fc5d462
00001080 0000 1fe02bb 001b3c0 001b3c0 ffaf914cb 001b3d835 1 0 1 5 00732ae9c0 ffc5049808 00ae249df8 00732ae9c0 003afb67f8
00001081 0000 0135365 00ff13c 00ff13c 0111e793d fcfbe5d93 1 1 0 3 0436a8f49c 0687aae7a8 fdaeee1bb8 025111e448 0436a8f49c
00001082 0000 009c1cc 0078aa7 0078aa7 0092362f6 fe821cede 1 1 0 3 01fe443d3f 033ad1a26c fec36b102c 013c94efd4 01fe443d3f
00001083 0000 010bdcb 1f76d58 1f76d58 024b03c6b fec0e33b5 0 1 0 2 fdbbf53718 02b2ef9368 fb090e3658 02b2ef9368 02440ac8e8
00001084 0000 0067cdb 005c197 005c197 0055a20f5 fef67c41f 1 1 0 3 01857751af 023edc8814 ff46950804 00b96af7fc 01857751af
00001085 0000 1f21c00 0115f31 0115f31 fd78a6626 00687ae26 1 0 1 5 049761aa59 ff1dc0c594 05798f8594 049761aa59 00e23f3a6c
00001086 0000 1f8b14e 1f65fd1 1f65fd1 ffd0a52d4 015c288f8 0 0 1 4 fd74b8f3f9 fd0e363c64 00668c57c4 028b470c07 00668c57c4
00001087 0000 1fa7f19 1fdb7e8 1fdb7e8 ff8eb60b9 00b896e27 0 0 1 4 ff65a02028 fe705854f8 00f54a1348 009a5fdfd8 00f54a1348
00001088 0000 1ed6910 01391b5 01391b5 fcd72694e 00c55012e 1 0 1 5 052c0d8f7d fe54c10064 06d738fd64 052c0d8f7d 01ab3eff9c
00001089 0000 1f6d2c5 1f2e4d0 1f2e4d0 ffd470c15 01c520dab 0 0 1 4 fc893b7d50 fc2af21338 005e568548 0376c482b0 005e568548
0000108a 0000 00d8577 00101f0 00101f0 015e2d9e7 fe8255d59 1 1 0 3 00442c1770 033a59bf68 fd09d15618 02f62ea9e8 00442c1770
0000108b 0000 1f3958e 00a2e8c 00a2e8c fe10e8076 00b0e961a 1 0 1 5 02b0e75e6c fe80f19040 042feb9fa0 02b0e75e6c 017f0e6fc0
0000108c 0000 002ba9e 1eccc41 1eccc41 0175e2dc4 00e22e348 0 1 1 6 faecc7d9e9 fe165420a4 fcd686ed04 01e9abdf5c 03297912fc
0000108d 0000 00b3721 1fcc873 1fcc873 0161c7e83 ff02c00e1 0 1 0 2 ff26566ceb 02245307d4 fd02069ca4 02245307d4 00d9a99315
0000108e 0000 1ef6a98 1ff5dc4 1ff5dc4 fe491b9b0 01cab2380 0 0 1 4 ffd51f3264 fc1edda490 03b6423010 002ae0cd9c 03b6423010
0000108f 0000 1f4cf6d 00886d9 00886d9 fe4bf2773 00a9978b9 1 0 1 5 0240ebd041 fe90cb7f6c 03b017c9fc 0240ebd041 016f348094
00001090 0000 0045027 013c842 013c842 ff3fa0183 fe562dd95 1 0 0 1 053a787992 0399eac5d0 01a079eb80 01a079eb80 0399eac5d0
00001091 0000 1fe6aee 00b4201 00b4201 ff2546794 ff7aeae78 1 0 0 1 02f9b4d5a9 01201e3324 01d98b6084 01d98b6084 01201e3324
