# id ud_raw uq_raw vdc error_code ud_hi uq_hi du_d_next du_q_next ud_lim uq_lim scale limited sat_flag
00000012 0000000000 0000000001 0180000 0 0000000000 0000000001 0000000000 0000000000 0000000 0000000 100000000 0 0
00000013 0000000000 ffffffffff 0180000 0 0000000000 ffffffffff 0000000000 0000000000 0000000 0000000 100000000 0 0
00000014 0001000000 0001000000 0180000 0 0001000000 0001000000 0000000000 0000000000 0008000 0008000 100000000 0 0
00000015 ffff000000 0001000000 0180000 0 ffff000000 0001000000 0000000000 0000000000 1ff8000 0008000 100000000 0 0
00000016 0001000000 ffff000000 0180000 0 0001000000 ffff000000 0000000000 0000000000 0008000 1ff8000 100000000 0 0
00000017 ffff000000 ffff000000 0180000 0 ffff000000 ffff000000 0000000000 0000000000 1ff8000 1ff8000 100000000 0 0
00000018 8000000000 8000000000 0180000 0 ffee5d1a00 ffee5d1a00 8011a2e600 8011a2e600 1f72e8d 1f72e8d 0002345cc 1 1
00000019 7fffffffff 7fffffffff 0180000 0 0011a2e600 0011a2e600 7fee5d19ff 7fee5d19ff 008d173 008d173 0002345cc 1 1
0000001a 8000000000 7fffffffff 0180000 0 ffee5d1a00 0011a2e600 8011a2e600 7fee5d19ff 1f72e8d 008d173 0002345cc 1 1
0000001b 7fffffffff 8000000000 0180000 0 0011a2e600 ffee5d1a00 7fee5d19ff 8011a2e600 008d173 1f72e8d 0002345cc 1 1
0000001c 8000000000 0000000000 0180000 0 ffe70ef800 0000000000 8018f10800 0000000000 1f3877c 0000000 00031e210 1 1
0000001d 0000000000 7fffffffff 0180000 0 0000000000 0018f10800 0000000000 7fe70ef7ff 0000000 00c7884 00031e210 1 1
0000001e 0000000000 0000000000 0ffffff 0 0000000000 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000001f 0000000001 0000000000 0ffffff 0 0000000001 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000020 ffffffffff 0000000000 0ffffff 0 ffffffffff 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000021 0000000000 0000000001 0ffffff 0 0000000000 0000000001 0000000000 0000000000 0000000 0000000 100000000 0 0
00000022 0000000000 ffffffffff 0ffffff 0 0000000000 ffffffffff 0000000000 0000000000 0000000 0000000 100000000 0 0
00000023 0001000000 0001000000 0ffffff 0 0001000000 0001000000 0000000000 0000000000 0008000 0008000 100000000 0 0
00000024 ffff000000 0001000000 0ffffff 0 ffff000000 0001000000 0000000000 0000000000 1ff8000 0008000 100000000 0 0
00000025 0001000000 ffff000000 0ffffff 0 0001000000 ffff000000 0000000000 0000000000 0008000 1ff8000 100000000 0 0
00000026 ffff000000 ffff000000 0ffffff 0 ffff000000 ffff000000 0000000000 0000000000 1ff8000 1ff8000 100000000 0 0
00000027 8000000000 8000000000 0ffffff 0 ff43e11380 ff43e11380 80bc1eec80 80bc1eec80 1a1f08a 1a1f08a 001783dd9 1 1
00000028 7fffffffff 7fffffffff 0ffffff 0 00bc1eec80 00bc1eec80 7f43e1137f 7f43e1137f 05e0f76 05e0f76 001783dd9 1 1
00000029 8000000000 7fffffffff 0ffffff 0 ff43e11380 00bc1eec80 80bc1eec80 7f43e1137f 1a1f08a 05e0f76 001783dd9 1 1
0000002a 7fffffffff 8000000000 0ffffff 0 00bc1eec80 ff43e11380 7f43e1137f 80bc1eec80 05e0f76 1a1f08a 001783dd9 1 1
0000002b 8000000000 0000000000 0ffffff 0 fef5f4ff00 0000000000 810a0b0100 0000000000 17afa7f 0000000 002141602 1 1
0000002c 0000000000 7fffffffff 0ffffff 0 0000000000 010a0b0100 0000000000 7ef5f4feff 0000000 0850581 002141602 1 1
0000002d 0000000000 0000000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000002e 0000000001 0000000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000002f ffffffffff 0000000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000030 0000000000 0000000001 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000031 0000000000 ffffffffff 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000032 0001000000 0001000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000033 ffff000000 0001000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000034 0001000000 ffff000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000035 ffff000000 ffff000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000036 8000000000 8000000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000037 7fffffffff 7fffffffff 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000038 8000000000 7fffffffff 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000039 7fffffffff 8000000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000003a 8000000000 0000000000 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000003b 0000000000 7fffffffff 0000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000003c 0000000000 0000000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000003d 0000000001 0000000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000003e ffffffffff 0000000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000003f 0000000000 0000000001 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000040 0000000000 ffffffffff 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000041 0001000000 0001000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000042 ffff000000 0001000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000043 0001000000 ffff000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000044 ffff000000 ffff000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000045 8000000000 8000000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000046 7fffffffff 7fffffffff 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000047 8000000000 7fffffffff 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000048 7fffffffff 8000000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000049 8000000000 0000000000 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000004a 0000000000 7fffffffff 1ffffff 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000004b 0000000000 0000000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000004c 0000000001 0000000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000004d ffffffffff 0000000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000004e 0000000000 0000000001 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000004f 0000000000 ffffffffff 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000050 0001000000 0001000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000051 ffff000000 0001000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000052 0001000000 ffff000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000053 ffff000000 ffff000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000054 8000000000 8000000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000055 7fffffffff 7fffffffff 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000056 8000000000 7fffffffff 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000057 7fffffffff 8000000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000058 8000000000 0000000000 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
00000059 0000000000 7fffffffff 1000000 1 0000000000 0000000000 0000000000 0000000000 0000000 0000000 000000000 0 0
0000005a ffffffff09 0000000000 0000001 0 ffffffff09 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000005b 00000000f7 0000000000 0000001 0 00000000f7 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000005c ffffffff08 0000000000 0000001 0 ffffffff08 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000005d 00000000f8 0000000000 0000001 0 00000000f8 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000005e ffffffff07 0000000000 0000001 0 ffffffff07 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000005f 00000000f9 0000000000 0000001 0 00000000f9 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000060 ffffffff06 0000000000 0000001 0 ffffffff07 0000000000 ffffffffff 0000000000 0000000 0000000 0ff0a8bfc 1 1
00000061 00000000fa 0000000000 0000001 0 00000000f9 0000000000 0000000001 0000000000 0000000 0000000 0ff0a8bfc 1 1
00000062 ffffffff05 0000000000 0000001 0 ffffffff07 0000000000 fffffffffe 0000000000 0000000 0000000 0fe16ece5 1 1
00000063 00000000fb 0000000000 0000001 0 00000000f9 0000000000 0000000002 0000000000 0000000 0000000 0fe16ece5 1 1
00000064 ffffffff09 0000000000 0000001 0 ffffffff09 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000065 00000000f7 0000000000 0000001 0 00000000f7 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000066 ffffffff08 0000000000 0000001 0 ffffffff08 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000067 00000000f8 0000000000 0000001 0 00000000f8 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000068 ffffffff07 0000000000 0000001 0 ffffffff07 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
00000069 00000000f9 0000000000 0000001 0 00000000f9 0000000000 0000000000 0000000000 0000000 0000000 100000000 0 0
0000006a ffffffff06 0000000000 0000001 0 ffffffff07 0000000000 ffffffffff 0000000000 0000000 0000000 0ff0a8bfc 1 1
0000006b 00000000fa 0000000000 0000001 0 00000000f9 0000000000 0000000001 0000000000 0000000 0000000 0ff0a8bfc 1 1
0000006c ffffffff05 0000000000 0000001 0 ffffffff07 0000000000 fffffffffe 0000000000 0000000 0000000 0fe16ece5 1 1
0000006d 00000000fb 0000000000 0000001 0 00000000f9 0000000000 0000000002 0000000000 0000000 0000000 0fe16ece5 1 1
0000006e ffe70ef7dc 0000000000 0180000 0 ffe70ef7dc 0000000000 0000000000 0000000000 1f3877c 0000000 100000000 0 0
0000006f 0018f10824 0000000000 0180000 0 0018f10824 0000000000 0000000000 0000000000 00c7884 0000000 100000000 0 0
00000070 ffe70ef7db 0000000000 0180000 0 ffe70ef7db 0000000000 0000000000 0000000000 1f3877c 0000000 100000000 0 0
00000071 0018f10825 0000000000 0180000 0 0018f10825 0000000000 0000000000 0000000000 00c7884 0000000 100000000 0 0
00000072 ffe70ef7da 0000000000 0180000 0 ffe70ef7da 0000000000 0000000000 0000000000 1f3877c 0000000 100000000 0 0
00000073 0018f10826 0000000000 0180000 0 0018f10826 0000000000 0000000000 0000000000 00c7884 0000000 100000000 0 0
00000074 ffe70ef7d9 0000000000 0180000 0 ffe70ef7da 0000000000 ffffffffff 0000000000 1f3877c 0000000 0fffffff5 1 0
00000075 0018f10827 0000000000 0180000 0 0018f10826 0000000000 0000000001 0000000000 00c7884 0000000 0fffffff5 1 0
00000076 ffe70ef7d8 0000000000 0180000 0 ffe70ef7da 0000000000 fffffffffe 0000000000 1f3877c 0000000 0ffffffeb 1 0
00000077 0018f10828 0000000000 0180000 0 0018f10826 0000000000 0000000002 0000000000 00c7884 0000000 0ffffffeb 1 0
00000078 ffe70893a8 0000000000 0180000 0 ffe70ef7da 0000000000 fffff99bce 0000000000 1f3877c 0000000 0ffbe76e0 1 0
00000079 0018f76c58 0000000000 0180000 0 0018f10826 0000000000 0000066432 0000000000 00c7884 0000000 0ffbe76e0 1 0
0000007a ffe70893a7 0000000000 0180000 0 ffe70ef7da 0000000000 fffff99bcd 0000000000 1f3877c 0000000 0ffbe76d6 1 0
0000007b 0018f76c59 0000000000 0180000 0 0018f10826 0000000000 0000066433 0000000000 00c7884 0000000 0ffbe76d6 1 0
0000007c ffe70893a6 0000000000 0180000 0 ffe70ef7da 0000000000 fffff99bcc 0000000000 1f3877c 0000000 0ffbe76cc 1 0
0000007d 0018f76c5a 0000000000 0180000 0 0018f10826 0000000000 0000066434 0000000000 00c7884 0000000 0ffbe76cc 1 0
0000007e ffe70893a5 0000000000 0180000 0 ffe70ef7da 0000000000 fffff99bcb 0000000000 1f3877c 0000000 0ffbe76c1 1 1
0000007f 0018f76c5b 0000000000 0180000 0 0018f10826 0000000000 0000066435 0000000000 00c7884 0000000 0ffbe76c1 1 1
00000080 ffe70893a4 0000000000 0180000 0 ffe70ef7da 0000000000 fffff99bca 0000000000 1f3877c 0000000 0ffbe76b7 1 1
00000081 0018f76c5c 0000000000 0180000 0 0018f10826 0000000000 0000066436 0000000000 00c7884 0000000 0ffbe76b7 1 1
00000082 fef5f4fece 0000000000 0ffffff 0 fef5f4fece 0000000000 0000000000 0000000000 17afa7f 0000000 100000000 0 0
00000083 010a0b0132 0000000000 0ffffff 0 010a0b0132 0000000000 0000000000 0000000000 0850581 0000000 100000000 0 0
00000084 fef5f4fecd 0000000000 0ffffff 0 fef5f4fecd 0000000000 0000000000 0000000000 17afa7f 0000000 100000000 0 0
00000085 010a0b0133 0000000000 0ffffff 0 010a0b0133 0000000000 0000000000 0000000000 0850581 0000000 100000000 0 0
00000086 fef5f4fecc 0000000000 0ffffff 0 fef5f4fecc 0000000000 0000000000 0000000000 17afa7f 0000000 100000000 0 0
00000087 010a0b0134 0000000000 0ffffff 0 010a0b0134 0000000000 0000000000 0000000000 0850581 0000000 100000000 0 0
00000088 fef5f4fecb 0000000000 0ffffff 0 fef5f4fecc 0000000000 ffffffffff 0000000000 17afa7f 0000000 0ffffffff 1 0
00000089 010a0b0135 0000000000 0ffffff 0 010a0b0134 0000000000 0000000001 0000000000 0850581 0000000 0ffffffff 1 0
0000008a fef5f4feca 0000000000 0ffffff 0 fef5f4fecc 0000000000 fffffffffe 0000000000 17afa7f 0000000 0fffffffe 1 0
0000008b 010a0b0136 0000000000 0ffffff 0 010a0b0134 0000000000 0000000002 0000000000 0850581 0000000 0fffffffe 1 0
0000008c fef5b0d1f6 0000000000 0ffffff 0 fef5f4fecc 0000000000 ffffbbd32a 0000000000 17afa7f 0000000 0ffbe76cb 1 0
0000008d 010a4f2e0a 0000000000 0ffffff 0 010a0b0134 0000000000 0000442cd6 0000000000 0850581 0000000 0ffbe76cb 1 0
0000008e fef5b0d1f5 0000000000 0ffffff 0 fef5f4fecc 0000000000 ffffbbd329 0000000000 17afa7f 0000000 0ffbe76ca 1 0
0000008f 010a4f2e0b 0000000000 0ffffff 0 010a0b0134 0000000000 0000442cd7 0000000000 0850581 0000000 0ffbe76ca 1 0
00000090 fef5b0d1f4 0000000000 0ffffff 0 fef5f4fecc 0000000000 ffffbbd328 0000000000 17afa7f 0000000 0ffbe76c9 1 0
00000091 010a4f2e0c 0000000000 0ffffff 0 010a0b0134 0000000000 0000442cd8 0000000000 0850581 0000000 0ffbe76c9 1 0
00000092 fef5b0d1f3 0000000000 0ffffff 0 fef5f4fecc 0000000000 ffffbbd327 0000000000 17afa7f 0000000 0ffbe76c8 1 1
00000093 010a4f2e0d 0000000000 0ffffff 0 010a0b0134 0000000000 0000442cd9 0000000000 0850581 0000000 0ffbe76c8 1 1
00000094 fef5b0d1f2 0000000000 0ffffff 0 fef5f4fecc 0000000000 ffffbbd326 0000000000 17afa7f 0000000 0ffbe76c7 1 1
00000095 010a4f2e0e 0000000000 0ffffff 0 010a0b0134 0000000000 0000442cda 0000000000 0850581 0000000 0ffbe76c7 1 1
00000096 c19031a3f3 640c532763 0fa2371 0 ff765fbd18 00dc87e5d1 c219d1e6db 632fcb4192 1bb2fdf 06e43f3 00234498d 1 1
00000097 c13b8aa4e2 58ac8462c6 0710ce2 0 ffbc1f6235 005fe499e8 c17f6b42ad 584c9fc8de 1de0fb1 02ff24d 00114d763 1 1
00000098 bcbd34f3a7 39333a2118 0396aef 0 ffd28b5abb 0026a80ce2 bceaa998ec 390c921436 1e945ad 0135406 000ad01ef 1 1
00000099 ad730c2251 abd914aeba 0adf51a 0 ff8166db6f ff7ef223a4 adf1a546e2 ac5a228b16 1c0b36e 1bf7912 0018898ea 1 1
0000009a fe9520903d 19af81ef26 05efe1b 0 fffa8f76c6 006291b8c3 fe9a911977 194cf03663 1fd47bb 03148dc 003d66882 1 1
0000009b c248fe57a1 3bccb10e79 0b00225 0 ff7ca37355 007f48e72c c2cc5ae44c 3b4d68274d 1be51ba 03fa474 00220e6e3 1 1
0000009c 51a571f240 ff60a12e38 07b4ac1 0 00802005b4 ffff05e79d 512551ec8c ff619b469b 0401003 1ff82f4 00191bbb7 1 1
0000009d 6d188af4b9 1ad592b406 03deb7f 0 003e7c8ee6 000f5eaad7 6cda0e65d3 1ac634092f 01f3e47 007af55 00092a0e2 1 1
0000009e acbe41a024 4d46366631 0d356bc 0 ff5f05bd58 00956908f9 ad5f3be2cc 4cb0cd5d38 1af82df 04ab484 001eefa47 1 1
0000009f 126405cda2 c0cf7a4960 0365dd5 0 000fc9dbc8 ffc9c0621a 12543bf1da c105b9e746 007e4ee 1e4e031 000dbc6f3 1 1
000000a0 57d50f7eac 32e5297ff2 0e6a1a9 0 00cf60f5a1 00782adae9 5705ae890b 326cfea509 067b07b 03c156d 0025c6f8b 1 1
000000a1 a24fdf2217 8bc59d495e 0e471bb 0 ff6b02a6e4 ff472a5be3 a2e4dc7b33 8c7e72ed7b 1b58153 1a3952e 001971c3b 1 1
000000a2 3e2b0368c7 d86142d53a 051afc3 0 004796bd70 ffd260409b 3de36cab57 d88ee2949f 023cb5f 1e93020 00126cb2f 1 1
000000a3 983f0ea39b 8b14606a99 0e5638e 0 ff61c5f7b3 ff4db19ab1 98dd48abe8 8bc6aecfe8 1b0e2fc 1a6d8cd 0018667de 1 1
000000a4 4537b849d6 a41cbeda4c 0b728d1 0 007286bd94 ff67f6d4fc 44c5318c42 a4b4c80550 039435f 1b3fb6a 001a792ba 1 1
000000a5 077dc86bc3 e9ce469b67 0266afd 0 000cc4b515 ffda2bf4c7 077103b6ae e9f41aa6a0 006625b 1ed15fa 001b454dd 1 1
000000a6 949698cbf9 3b886c4f3f 0d1988e 0 ff417ca3b7 0069978113 95551c2842 3b1ed4ce2c 1a0be52 034cbc1 001c60f56 1 1
000000a7 2dba928cb5 e1bb932027 0e9c2e0 0 00ca93c7cc ff79eab2b4 2ceffec4e9 e241a86d73 06549e4 1bcf559 0046e129a 1 1
000000a8 b8cad7b3f7 08a16d9825 065e201 0 ff96e3b5bc 000cbd5d64 b933f3fe3b 0894b03ac1 1cb71db 0065eaf 00179e285 1 1
000000a9 291f8d6e93 d57d56963c 0caa740 0 00926dd6be ff68a1b5e7 288d1f97d5 d614b4e055 04936eb 1b450db 0038f8c6b 1 1
000000aa 9ceeb4c625 68b7742c2a 0d5b270 0 ff67608d6a 00a1536474 9d875438bb 681620c7b6 1b3b047 050a9b2 0018a6458 1 1
000000ab 1aa182581b 1cd02aa797 0742eb8 0 0051f3d7fa 0058ab06d7 1a4f8e8021 1c777fa0c0 028f9ec 02c5583 00313cd09 1 1
000000ac 8815bc9697 f59f909f15 067a6e2 0 ff94aecfbd fff6b6a486 88810dc6da f5a8d9fa8f 1ca5768 1fb5b52 000e51af8 1 1
000000ad 51ea9286b1 58936adcfa 0bf5dbd 0 0087076965 009201a3a9 51638b1d4c 5801693951 04383b5 04900d2 001a5fc0b 1 1
000000ae 84c9f484a7 2066281d72 03eced4 0 ffc0dfc27e 0010996ce4 850914c229 20558eb08e 1e06fe1 0084cb6 0008328b1 1 1
000000af 2f026ca66d e6e464f3bc 0a84165 0 009a3c52f8 ffad9f5bb8 2e68305375 e736c59804 04d1e29 1d6cfae 00347ec3a 1 1
000000b0 83a63f2eaa 7d602fbb0b 0d23f59 0 ff6622c600 009b21f236 84401c68aa 7cc50dc8d5 1b31163 04d90f9 0013cc26b 1 1
000000b1 da37953d76 7c5b245f57 0f3b469 0 ffb65fc364 00f253d137 da81357a12 7b68d08e20 1db2fe2 07929e9 001f2db47 1 1
000000b2 a096278aa0 de9cfcbb82 08eae6e 0 ff740acb09 ffcf06c28d a1221cbf97 decdf5f8f5 1ba0566 1e78361 0017783e6 1 1
000000b3 2054db4f86 083ae2e635 0ae5c18 0 00af99a0fa 002cb3038d 1fa541ae8c 080e2fe2a8 057ccd0 0165982 0056e6603 1 1
000000b4 2126be1cae 0c9b645b93 0e21ad8 0 00dba143c8 005385b2c9 204b1cd8e6 0c47dea8ca 06dd0a2 029c2d9 006a00498 1 1
000000b5 d71e8bb301 bf8e98894b 07d2987 0 ffba52c1cb ff9229f23d d76438f136 bffc6e970e 1dd2961 1c914f9 001b45313 1 1
000000b6 d720ba9d0c 6db7729909 0e73c6e 0 ffac1c7b21 00e1308f8e d7749e21eb 6cd642097b 1d60e3e 0709848 0020d6e7b 1 1
000000b7 cfe3af58f7 babf3827ea 0492696 0 ffd4a08e4c ffc19117a5 d00f0ecaab bafda71045 1ea5047 1e0c88c 000e6ca3a 1 1
000000b8 2306283029 e85cb5848b 075df10 0 006588e652 ffbb794ce7 22a09f49d7 e8a13c37a4 032c473 1ddbca6 002e624f1 1 1
000000b9 7eceb15490 9cd6f898b2 07fba56 0 00689083e5 ffae3bad99 7e6620d0ab 9d28bceb19 0344842 1d71dd7 000d3188a 1 1
000000ba 4d94113e6a c7c261f37e 06c8ff1 0 005b57e0ae ffbdc7c912 4d38b95dbc c8049a2a6c 02dabf0 1dee3e5 0012d6c2e 1 1
000000bb 5ac7350578 4002cda25a 0a0d165 0 008895d7a4 00604fad42 5a3e9f2dd4 3fa27df518 0444aec 03027d7 001812dd6 1 1
000000bc 5106fa7aba 6a43dde243 085a527 0 005436bed9 006e71b93f 50b2c3bbe1 69d56c2904 02a1b5f 03738dd 0010a115c 1 1
000000bd 1bac6706c2 6e9d20b519 0af69dc 0 002c3e3eb6 00b0d83bea 1b8028c80c 6dec48792f 0161f1f 0586c1e 001994834 1 1
000000be e99fb3a897 63d1899f83 09ba812 0 ffdc9db113 009dd87acc e9c315f784 6333b124b7 1ee4ed9 04eec3d 00194d1cc 1 1
000000bf 969fd10145 6e065b4000 0766542 0 ffaae52216 0058dc1719 96f4ebdf2f 6dad7f28e7 1d57291 02c6e0c 000cec110 1 1
000000c0 e8227c07b3 dc4d493f40 079fda3 0 ffb98a8227 ff969b391e e868f1858c dcb6ae0622 1dcc541 1cb4d9d 002f3cde4 1 1
000000c1 c8a5fe948f b2a345d937 02f4447 0 ffe36ad134 ffd80d2134 c8c293c35b b2cb38b803 1f1b569 1ec0691 0008431d4 1 1
000000c2 e18cc5e46b 8d4c8817b9 0eb5b5e 0 ffc13ddb08 ff13993527 e1cb880963 8e38eee292 1e09eee 189cc9b 0020f9f39 1 1
000000c3 829db5c72f 173627f720 0dc6189 0 ff1eccbc3b 0029b09e6f 837ee90af4 170c7758b1 18f665e 014d84f 001cbcc3e 1 1
000000c4 1f4c6455b6 289d6e6934 0fd3512 0 00a09ee231 00d06eb194 1eabc57385 27ccffb7a0 0504f71 0683759 00521c4ee 1 1
000000c5 7155ef6cc4 fe0c63819e 05f5659 0 0063100f42 fffe4b4eae 70f2df5d82 fe0e1832f0 0318808 1ff25a7 000dfc2b6 1 1
000000c6 8ef1ff639e 080703fef5 0ab8bce 0 ff4e2bf8e0 000ca06a76 8fa3d36abe 07fa63947f 1a715fc 0065035 00192ac2f 1 1
000000c7 b8759d2f8a 26fd252463 0b2748c 0 ff5d283369 0058bf67f3 b91874fc21 26a465bc70 1ae941a 02c5fb4 00246b72b 1 1
000000c8 3838bc1a79 7b0d6bd5b1 02d1c47 0 00137b65ab 002aa3ee50 382540b4ce 7ae2c7e761 009bdb3 01551f7 00058b5a8 1 1
000000c9 cee3999dba cee58fea28 035081b 0 ffd906dcc3 ffd9086b60 cf0a92c0f7 cf0c877ec8 1ec836e 1ec8436 000cb27b5 1 1
000000ca 4f33232070 c28014ab3f 0bfe084 0 009d7f2cf7 ff85b39ce2 4e95a3f379 c2fa610e5d 04ebf96 1c2d9ce 001fd1503 1 1
000000cb 4a1515df01 717831b96f 0c7e8d3 0 00719326f8 00adf57300 49a382b809 70ca3c466f 038c993 056faba 00188787b 1 1
