row_index,parameter_profile,case_id,ia_raw,ib_raw,ic_raw,theta_u16,i_alpha_raw,i_beta_raw,sin_raw,cos_raw,id_raw,iq_raw,ud_lim_raw,uq_lim_raw,v_alpha_raw,v_beta_raw,ia_A,ib_A,ic_A,theta_rad,i_alpha_A,i_beta_A,id_A,iq_A,v_alpha_V,v_beta_V,step6a_i_alpha,step6a_i_beta,step6a_id,step6a_iq,step6a_v_alpha,step6a_v_beta
26,real_commissioning,angle_6.2832,6554,-9830,3277,0,6554,-7567,0,65536,6554,-7567,14295,2211,14295,2211,0.200012207031,-0.299987792969,0.100006103516,6.28318530718,0.200012207031,-0.230926513672,0.200012207031,-0.230926513672,0.436248779297,0.0674743652344,0.2,-0.23094010767585,0.2,-0.23094010767585,0.43625,0.0674881098679486
27,real_commissioning,sector_15_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,real_commissioning,sector_15_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,real_commissioning,sector_15,0,0,0,0,0,0,0,65536,0,0,69040,18499,69040,18499,0,0,0,0,0,0,0,0,2.10693359375,0.564544677734,0,0,0,0,2.10692570859303,0.564549042129873
30,real_commissioning,sector_75_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,real_commissioning,sector_75_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,real_commissioning,sector_75,0,0,0,0,0,0,0,65536,0,0,18499,69040,18499,69040,0,0,0,0,0,0,0,0,0.564544677734,2.10693359375,0,0,0,0,0.564549042129873,2.10692570859303
33,real_commissioning,sector_135_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,real_commissioning,sector_135_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,real_commissioning,sector_135,0,0,0,0,0,0,0,65536,0,0,-50541,50541,-50541,50541,0,0,0,0,0,0,0,0,-1.54238891602,1.54238891602,0,0,0,0,-1.54237666646316,1.54237666646316
36,real_commissioning,sector_195_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,real_commissioning,sector_195_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,real_commissioning,sector_195,0,0,0,0,0,0,0,65536,0,0,-69040,-18499,-69040,-18499,0,0,0,0,0,0,0,0,-2.10693359375,-0.564544677734,0,0,0,0,-2.10692570859303,-0.564549042129872
39,real_commissioning,sector_255_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,real_commissioning,sector_255_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,real_commissioning,sector_255,0,0,0,0,0,0,0,65536,0,0,-18499,-69040,-18499,-69040,0,0,0,0,0,0,0,0,-0.564544677734,-2.10693359375,0,0,0,0,-0.564549042129873,-2.10692570859303
42,real_commissioning,sector_315_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,real_commissioning,sector_315_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,real_commissioning,sector_315,0,0,0,0,0,0,0,65536,0,0,50541,-50541,50541,-50541,0,0,0,0,0,0,0,0,1.54238891602,-1.54238891602,0,0,0,0,1.54237666646316,-1.54237666646316
45,real_commissioning,edge_1_0_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,real_commissioning,edge_1_0_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,real_commissioning,edge_1_0,0,0,0,0,0,0,0,65536,0,0,71475,0,71475,0,0,0,0,0,0,0,0,0,2.18124389648,0,0,0,0,0,2.18125,0
48,real_commissioning,edge_1_1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,real_commissioning,edge_1_1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,real_commissioning,edge_1_1.732,0,0,0,0,0,0,0,65536,0,0,71475,123795,71475,123795,0,0,0,0,0,0,0,0,2.18124389648,3.77792358398,0,0,0,0,2.18125,3.777925
51,real_commissioning,edge_-1_1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,real_commissioning,edge_-1_1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,real_commissioning,edge_-1_1.732,0,0,0,0,0,0,0,65536,0,0,-71475,123795,-71475,123795,0,0,0,0,0,0,0,0,-2.18124389648,3.77792358398,0,0,0,0,-2.18125,3.777925
54,real_commissioning,edge_-1_0_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,real_commissioning,edge_-1_0_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,real_commissioning,edge_-1_0,0,0,0,0,0,0,0,65536,0,0,-71475,0,-71475,0,0,0,0,0,0,0,0,0,-2.18124389648,0,0,0,0,0,-2.18125,0
57,real_commissioning,edge_-1_-1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,real_commissioning,edge_-1_-1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,real_commissioning,edge_-1_-1.732,0,0,0,0,0,0,0,65536,0,0,-71475,-123795,-71475,-123795,0,0,0,0,0,0,0,0,-2.18124389648,-3.77792358398,0,0,0,0,-2.18125,-3.777925
60,real_commissioning,edge_1_-1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,real_commissioning,edge_1_-1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,real_commissioning,edge_1_-1.732,0,0,0,0,0,0,0,65536,0,0,71475,-123795,71475,-123795,0,0,0,0,0,0,0,0,2.18124389648,-3.77792358398,0,0,0,0,2.18125,-3.777925
63,real_commissioning,feedforward_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,real_commissioning,feedforward_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,real_commissioning,feedforward,6554,-3277,-3277,3129,6554,0,19361,62611,6261,-1936,22419,495936,-125094,480425,0.200012207031,-0.100006103516,-0.100006103516,0.3,0.200012207031,0,0.191070556641,-0.05908203125,-3.81756591797,14.6614074707,0.2,0,0.191066365401038,-0.0591037512790529,-3.81899154635006,14.6609055827327
66,real_commissioning,sat_start_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,real_commissioning,sat_start_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,real_commissioning,sat_start,0,0,0,2086,0,0,13007,64232,0,0,680021,-453348,756467,-309363,0,0,0,0.2,0,0,0,0,23.0855407715,-9.44100952148,0,0,0,0,23.087365371818,-9.43631277208387
69,real_commissioning,sat_hold_1,0,0,0,2086,0,0,13007,64232,0,0,680021,-453348,756467,-309363,0,0,0,0.2,0,0,0,0,23.0855407715,-9.44100952148,0,0,0,0,23.0873654069208,-9.43631278643116
70,real_commissioning,sat_hold_2,0,0,0,2086,0,0,13007,64232,0,0,680021,-453348,756467,-309363,0,0,0,0.2,0,0,0,0,23.0855407715,-9.44100952148,0,0,0,0,23.0873654067486,-9.43631278636079
71,real_commissioning,sat_hold_3,0,0,0,2086,0,0,13007,64232,0,0,680021,-453348,756467,-309363,0,0,0,0.2,0,0,0,0,23.0855407715,-9.44100952148,0,0,0,0,23.0873654002266,-9.4363127836951
72,real_commissioning,sat_hold_4,0,0,0,2086,0,0,13007,64232,0,0,680021,-453348,756467,-309363,0,0,0,0.2,0,0,0,0,23.0855407715,-9.44100952148,0,0,0,0,23.0873653934052,-9.43631278090706
73,real_commissioning,recovery_1,0,0,0,0,0,0,0,65536,0,0,122627,-81751,122627,-81751,0,0,0,0,0,0,0,0,3.74227905273,-2.4948425293,0,0,0,0,3.74227377553609,-2.49484918369073
74,real_commissioning,recovery_2,0,0,0,0,0,0,0,65536,0,0,-204259,136173,-204259,136173,0,0,0,0,0,0,0,0,-6.23348999023,4.15567016602,0,0,0,0,-6.23349667780571,4.15566445187047
75,real_commissioning,recovery_3,0,0,0,0,0,0,0,65536,0,0,-204259,136173,-204259,136173,0,0,0,0,0,0,0,0,-6.23348999023,4.15567016602,0,0,0,0,-6.23349667780571,4.15566445187047
76,real_commissioning,recovery_4,0,0,0,0,0,0,0,65536,0,0,-204259,136173,-204259,136173,0,0,0,0,0,0,0,0,-6.23348999023,4.15567016602,0,0,0,0,-6.23349667780571,4.15566445187047
77,real_commissioning,q_zero,3277,-1638,-1638,0,3277,0,0,65536,3277,0,-139932,0,-139932,0,0.100006103516,-0.0499877929688,-0.0499877929688,0,0.100006103516,0,0.100006103516,0,-4.27038574219,0,0.1,0,0.1,0,-4.27037167780571,0
78,real_commissioning,reset_after_sat,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,real_commissioning,release,0,0,0,0,0,0,0,65536,0,0,14295,-14295,14295,-14295,0,0,0,0,0,0,0,0,0.436248779297,-0.436248779297,0,0,0,0,0.43625,-0.43625
80,MIL_PI_override,zero_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,MIL_PI_override,zero_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,MIL_PI_override,zero,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,MIL_PI_override,d_current_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,MIL_PI_override,d_current_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,MIL_PI_override,d_current,32768,-16384,-16384,0,32768,0,0,65536,32768,0,-142950,0,-142950,0,1,-0.5,-0.5,0,1,0,1,0,-4.36248779297,0,1,0,1,0,-4.3625,0
86,MIL_PI_override,q_current_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,MIL_PI_override,q_current_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,MIL_PI_override,q_current,0,28378,-28378,0,0,32768,0,65536,0,32768,0,-142950,0,-142950,0,0.866027832031,-0.866027832031,0,0,1,0,1,0,-4.36248779297,0,1,0,1,0,-4.3625
89,MIL_PI_override,common_mode_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,MIL_PI_override,common_mode_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,MIL_PI_override,common_mode,32768,32768,32768,0,0,0,0,65536,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,MIL_PI_override,angle_0.0000_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,MIL_PI_override,angle_0.0000_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,MIL_PI_override,angle_0.0000,6554,-9830,3277,0,6554,-7567,0,65536,6554,-7567,28590,4423,28590,4423,0.200012207031,-0.299987792969,0.100006103516,0,0.200012207031,-0.230926513672,0.200012207031,-0.230926513672,0.872497558594,0.134979248047,0.2,-0.23094010767585,0.2,-0.23094010767585,0.8725,0.134976219735897
95,MIL_PI_override,angle_1.5708_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,MIL_PI_override,angle_1.5708_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,MIL_PI_override,angle_1.5708,6554,-9830,3277,16384,6554,-7567,65536,0,-7567,-6554,90193,0,0,90193,0.200012207031,-0.299987792969,0.100006103516,1.57079632679,0.200012207031,-0.230926513672,-0.230926513672,-0.200012207031,0,2.75247192383,0.2,-0.23094010767585,-0.23094010767585,-0.2,3.37081119222877e-16,2.7524762197359
98,MIL_PI_override,angle_3.1416_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,MIL_PI_override,angle_3.1416_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,MIL_PI_override,angle_3.1416,6554,-9830,3277,32768,6554,-7567,0,-65536,-6554,7567,85770,-61603,-85770,61603,0.200012207031,-0.299987792969,0.100006103516,3.14159265359,0.200012207031,-0.230926513672,-0.200012207031,0.230926513672,-2.61749267578,1.87997436523,0.2,-0.23094010767585,-0.2,0.23094010767585,-2.6175,1.8799762197359
101,MIL_PI_override,angle_4.7124_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,MIL_PI_override,angle_4.7124_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,MIL_PI_override,angle_4.7124,6554,-9830,3277,49152,6554,-7567,-65536,0,7567,6554,24167,-57180,-57180,-24167,0.200012207031,-0.299987792969,0.100006103516,4.71238898038,0.200012207031,-0.230926513672,0.230926513672,0.200012207031,-1.74499511719,-0.737518310547,0.2,-0.23094010767585,0.23094010767585,0.2,-1.745,-0.737523780264103
104,MIL_PI_override,angle_6.2832_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,MIL_PI_override,angle_6.2832_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,MIL_PI_override,angle_6.2832,6554,-9830,3277,0,6554,-7567,0,65536,6554,-7567,28590,4423,28590,4423,0.200012207031,-0.299987792969,0.100006103516,6.28318530718,0.200012207031,-0.230926513672,0.200012207031,-0.230926513672,0.872497558594,0.134979248047,0.2,-0.23094010767585,0.2,-0.23094010767585,0.8725,0.134976219735897
107,MIL_PI_override,sector_15_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,MIL_PI_override,sector_15_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,MIL_PI_override,sector_15,0,0,0,0,0,0,0,65536,0,0,138079,36998,138079,36998,0,0,0,0,0,0,0,0,4.21383666992,1.12908935547,0,0,0,0,4.21385141718606,1.12909808425975
110,MIL_PI_override,sector_75_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,MIL_PI_override,sector_75_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,MIL_PI_override,sector_75,0,0,0,0,0,0,0,65536,0,0,36998,138079,36998,138079,0,0,0,0,0,0,0,0,1.12908935547,4.21383666992,0,0,0,0,1.12909808425975,4.21385141718606
113,MIL_PI_override,sector_135_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,MIL_PI_override,sector_135_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,MIL_PI_override,sector_135,0,0,0,0,0,0,0,65536,0,0,-101081,101081,-101081,101081,0,0,0,0,0,0,0,0,-3.08474731445,3.08474731445,0,0,0,0,-3.08475333292631,3.08475333292631
116,MIL_PI_override,sector_195_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,MIL_PI_override,sector_195_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,MIL_PI_override,sector_195,0,0,0,0,0,0,0,65536,0,0,-138079,-36998,-138079,-36998,0,0,0,0,0,0,0,0,-4.21383666992,-1.12908935547,0,0,0,0,-4.21385141718606,-1.12909808425974
119,MIL_PI_override,sector_255_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,MIL_PI_override,sector_255_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,MIL_PI_override,sector_255,0,0,0,0,0,0,0,65536,0,0,-36998,-138079,-36998,-138079,0,0,0,0,0,0,0,0,-1.12908935547,-4.21383666992,0,0,0,0,-1.12909808425975,-4.21385141718606
122,MIL_PI_override,sector_315_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,MIL_PI_override,sector_315_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,MIL_PI_override,sector_315,0,0,0,0,0,0,0,65536,0,0,101081,-101081,101081,-101081,0,0,0,0,0,0,0,0,3.08474731445,-3.08474731445,0,0,0,0,3.08475333292631,-3.08475333292631
125,MIL_PI_override,edge_1_0_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,MIL_PI_override,edge_1_0_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,MIL_PI_override,edge_1_0,0,0,0,0,0,0,0,65536,0,0,142950,0,142950,0,0,0,0,0,0,0,0,0,4.36248779297,0,0,0,0,0,4.3625,0
128,MIL_PI_override,edge_1_1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,MIL_PI_override,edge_1_1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,MIL_PI_override,edge_1_1.732,0,0,0,0,0,0,0,65536,0,0,142950,247590,142950,247590,0,0,0,0,0,0,0,0,4.36248779297,7.55584716797,0,0,0,0,4.3625,7.55585
131,MIL_PI_override,edge_-1_1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,MIL_PI_override,edge_-1_1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,MIL_PI_override,edge_-1_1.732,0,0,0,0,0,0,0,65536,0,0,-142950,247590,-142950,247590,0,0,0,0,0,0,0,0,-4.36248779297,7.55584716797,0,0,0,0,-4.3625,7.55585
134,MIL_PI_override,edge_-1_0_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,MIL_PI_override,edge_-1_0_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,MIL_PI_override,edge_-1_0,0,0,0,0,0,0,0,65536,0,0,-142950,0,-142950,0,0,0,0,0,0,0,0,0,-4.36248779297,0,0,0,0,0,-4.3625,0
137,MIL_PI_override,edge_-1_-1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,MIL_PI_override,edge_-1_-1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,MIL_PI_override,edge_-1_-1.732,0,0,0,0,0,0,0,65536,0,0,-142950,-247590,-142950,-247590,0,0,0,0,0,0,0,0,-4.36248779297,-7.55584716797,0,0,0,0,-4.3625,-7.55585
140,MIL_PI_override,edge_1_-1.732_reset1,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,MIL_PI_override,edge_1_-1.732_reset2,0,0,0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
