# alpha beta sine cosine d q back_alpha back_beta
13578 -215302 36180 54644 -107539 -187015 13578 -215302
-192706 153880 -64584 -11130 -118917 -216040 -192706 153880
-11717 -123835 60576 25010 -118934 -36428 -11717 -123834
105661 38001 -46002 46677 48581 101233 105660 38001
159462 -200484 7498 -65106 -181353 180924 159464 -200486
190155 -39787 19192 -62663 -193470 -17643 190155 -39787
228416 -115275 35570 55043 129278 -220792 228415 -115275
90828 37079 16119 63523 97158 13600 90829 37079
-52638 21218 49509 42939 -18459 53667 -52637 21218
-223849 91774 57655 -31159 187166 153296 -223849 91774
225123 70907 64986 8471 99411 -214068 225121 70907
107664 -4221 46447 46234 72963 -79282 107663 -4221
-257796 -211509 -25890 60205 -153269 -296146 -257794 -211507
198448 173545 -33087 -56571 -258919 -49615 198451 173548
175503 -69023 -64688 10510 96275 162163 175504 -69023
-65473 -238213 65240 -6224 -230919 87801 -65474 -238215
-187 155377 -62758 18880 -148845 44583 -187 155379
-68432 -156350 -48356 44234 69175 -156022 -68431 -156349
-136964 -240831 53436 37941 -275659 -27749 -136963 -240829
242500 35183 -54140 36931 107589 220158 242504 35184
-235031 -171922 45625 -47046 49031 287041 -235030 -171922
182460 -20916 36514 54421 139861 -119028 182458 -20916
-71895 -44915 38105 -53319 32377 78344 -71893 -44914
202126 -254295 37941 53436 17587 -324362 202124 -254293
152139 -253499 -50468 41808 292270 -44558 152137 -253497
30289 -27138 38594 52967 8498 -39770 30289 -27138
-10514 -29175 -11501 -64519 15471 26877 -10514 -29175
-96529 -121439 -46056 -46624 154016 18558 -96529 -121439
68643 -71891 -23633 61127 89950 -42301 68644 -71892
7064 10807 -6849 65177 5896 11486 7064 10807
-110757 -227073 -26787 -59811 193895 161966 -110755 -227069
138713 145556 -21153 -62028 -178269 -92992 138712 145554
125273 60377 -63128 -17600 -91801 104456 125272 60376
27278 -251706 -21984 -61739 58737 246273 27278 -251708
-41636 -117637 53998 -37138 -73332 100968 -41636 -117638
-180894 14786 61333 23093 -49904 174503 -180896 14786
-241819 -178326 -35527 -55071 299875 18760 -241820 -178326
147704 -243888 -50 -65536 -147518 244001 147704 -243888
-384 110986 -64852 9442 -109883 15610 -384 110985
-175241 244563 -59265 -27975 -146357 -262868 -175240 244561
86340 247293 34721 -55582 57790 -255476 86339 247290
231636 50991 49145 -43356 -115003 -207436 231636 50991
-69306 208574 -24008 60980 -140895 168685 -69305 208573
-182877 259365 32848 -56710 288247 -132774 -182879 259368
-200250 -250515 -41225 50946 1916 -320710 -200251 -250517
80526 203136 45080 47568 198179 92051 80526 203134
-72584 -112864 -32303 -57022 118786 62424 -72585 -112864
69244 145932 55742 -34465 87708 -135641 69245 145933
257198 -222649 11427 64532 214436 -264084 257197 -222649
-39830 -257151 -24498 -60785 133068 223620 -39830 -257151
92050 191460 65223 -6399 181558 -110305 92051 191461
-1752 117270 39282 -52459 71694 -92820 -1752 117272
155144 9712 17528 63149 152091 -32136 155146 9712
-119782 61944 55002 -35633 117115 66849 -119781 61943
-252380 -72918 -553 65534 -251757 -75045 -252383 -72918
-227852 152659 43412 49095 -69567 265294 -227849 152658
73733 66809 11130 64584 84008 53316 73733 66809
107666 67363 -12440 -64344 -118495 -45701 107665 67362
604 51438 5498 65305 4917 51206 604 51438
-133400 148332 59954 -26466 189570 62135 -133398 148331
66773 51676 64510 -11551 39098 -74836 66773 51676
187857 -65506 -58583 -29376 -25649 197289 187855 -65505
-21371 56745 -58425 29690 -60270 6655 -21371 56745
3720 20475 -65034 -8097 -20778 1162 3720 20475
-170916 184629 42367 -50000 249756 -30369 -170916 184629
-146544 -248369 37407 -53812 -21437 287582 -146546 -248371
-62047 -166951 -58334 29869 120325 -131319 -62048 -166953
12240 38831 -61386 -22952 -40659 -2134 12241 38832
177644 92116 -63780 15069 -48801 194065 177644 92116
47913 -254701 -61922 21462 256346 -38140 47912 -254700
-93018 200581 -63135 -17576 -168286 -143404 -93018 200580
101188 51251 16314 63473 110761 24449 101188 51251
158299 100562 -62521 -19648 -143394 120867 158297 100561
-243847 3565 56443 33303 -120844 211825 -243843 3565
-207625 9374 -64084 13721 -52636 -201062 -207627 9374
134173 130313 -57998 -30516 -177800 58062 134174 130313
82090 183529 60681 -24754 138926 -145331 82090 183528
77181 -235480 27793 -59351 -169761 180525 77181 -235481
153012 -116221 53955 37200 -8830 -191943 153012 -116222
-214907 252998 34849 -55502 316536 -99985 -214905 252996
179551 107968 65265 5948 123817 -169009 179548 107966
63287 179573 53407 37982 183017 52499 63286 179572
203768 -92747 5798 65279 194764 -110411 203768 -92747
-164484 138894 26420 59975 -94534 193418 -164486 138896
-168273 -243387 61881 -21581 -174401 239036 -168275 -243389
-134614 -95625 -63780 15069 62110 -152995 -134614 -95625
-233130 -141700 -12662 -64301 256114 93987 -233129 -141699
239901 245250 43581 -48945 -16078 -342695 239898 245247
171499 -80649 39663 -52171 -185334 -39591 171499 -80649
14113 258734 -65458 -3191 -259113 1498 14113 258732
-79929 245400 -56238 33649 -251623 57410 -79929 245400
157020 -110801 30003 58265 88873 -170393 157020 -110802
-178353 95114 -61864 -21628 -30925 -199749 -178351 95113
-218375 233339 7049 65156 -192011 255474 -218376 233340
251565 -192020 65526 1131 -187649 -254840 251563 -192018
-133544 -188147 59383 27725 -226978 41410 -133545 -188149
-4341 -45596 -64514 11526 44121 -12292 -4341 -45595
152051 141037 42117 50211 207133 10341 152051 141038
-200463 115356 -15607 -63651 167226 -159777 -200466 115358
-21855 -156235 14506 -63910 -13269 157196 -21855 -156233
-10035 57485 64967 8621 55666 17510 -10035 57486
-208511 -140619 -28020 59244 -128370 -216268 -208511 -140620
-121457 -125103 28655 -58940 54533 165618 -121459 -125105
-99205 203215 -58356 -29824 -135805 -180815 -99203 203211
-212547 76019 -14947 63809 -224284 25539 -212549 76019
247818 -141282 -54012 37117 256793 124225 247818 -141282
-10580 1999 -56885 32543 -6989 -8191 -10580 1999
63941 21750 -51850 -40082 -56314 37286 63941 21750
-145545 157772 57244 31908 66947 203945 -145546 157773
-170456 -208909 -52171 39663 63144 -262128 -170456 -208909
-211532 -33584 -1659 65515 -210614 -38928 -211532 -33584
46266 43717 65526 -1156 42894 -47030 46266 43717
-118202 203477 -44677 47947 -225192 68286 -118202 203476
-190618 76408 8845 -64936 199185 -49982 -190616 76407
260340 129421 -63229 -17237 -193339 217136 260344 129423
135668 -220987 -56848 32608 259194 7729 135669 -220987
-128432 141335 50000 42367 24803 189355 -128432 141335
118866 -23033 65195 -6674 -35018 -115902 118865 -23033
248281 -232334 -11229 64567 284418 -186358 248282 -232335
-243184 219852 54182 -36868 318569 77373 -243183 219850
100123 -65366 -50580 -41673 -13217 118839 100123 -65367
62127 98082 63554 -15997 79951 -84189 62127 98083
-203860 255307 -7049 65156 -230139 231900 -203862 255309
-62654 -100830 -64151 13401 85887 -81948 -62654 -100829
-93419 4822 -13598 64110 -92387 -14666 -93420 4822
-199760 147117 -3341 -65451 192001 -157110 -199761 147118
-104222 157121 -4621 -65373 92884 -164079 -104222 157122
-223844 -118846 -35401 -55152 252574 -20900 -223844 -118846
-44553 166912 -25196 -60499 -23042 -171212 -44553 166912
26043 -181160 23914 -61017 -90352 159165 26043 -181159
-145844 -165995 50452 41828 -220873 6331 -145845 -165995
201733 199887 -64830 -9591 -227257 170307 201731 199885
-175825 98709 -65025 8172 -119864 -162146 -175828 98711
97163 76076 -32477 56923 46693 114228 97163 76077
-144822 8391 -64933 -8870 11287 -144625 -144822 8391
35025 -17025 58368 29802 764 -38936 35025 -17025
100061 -119141 61261 -23281 -146915 -51210 100060 -119140
-59913 201986 44733 47895 94084 188510 -59913 201986
67493 182693 -15485 63680 22414 193466 67492 182691
-105699 -184358 63448 16411 -204953 56166 -105699 -184358
-227007 18141 58470 29600 -86345 210725 -227004 18141
-164032 -46311 63423 16508 -86136 147078 -164033 -46311
219664 101424 54948 -35717 -34679 -239451 219665 101424
-184446 228559 -52262 -39543 -70975 -284995 -184446 228559
139519 -25402 -15411 63698 141579 8119 139518 -25401
-193020 190105 4821 -65358 206480 -175390 -193017 190103
-251711 -166003 -12884 -64257 279434 113278 -251711 -166002
-163218 -38454 -151 65536 -163129 -38830 -163218 -38454
-45420 94988 7673 -65085 56229 -89017 -45420 94988
-220248 13839 -1432 -65520 219892 -18648 -220246 13839
45563 252730 29331 58606 153856 205613 45564 252730
257497 -211682 -5498 65305 274348 -189334 257497 -211682
100431 165079 27633 59425 160671 107340 100430 165077
-123132 -258792 -46145 -46536 269654 97064 -123132 -258791
171438 -187108 -33347 -56418 -52379 248309 171440 -187110
-47460 9563 59531 27405 -11159 47110 -47460 9563
24059 35873 -65142 7174 -33024 27841 24059 35873
25016 222955 38919 52729 152531 164529 25017 222958
208830 -256489 63633 -15680 -299005 -141399 208832 -256492
256945 151837 -10758 -64647 -278384 -107599 256945 151837
-77152 -165200 -63976 -14212 177999 -39491 -77151 -165198
108218 149122 65225 -6374 137889 -122208 108217 149121
836 -237569 -45697 -46976 165053 170872 836 -237569
173427 -66168 49821 42578 62372 -174829 173429 -66169
-227748 32626 -48237 44364 -178186 -145545 -227748 32626
147562 -160931 -39141 52564 214469 -40946 147563 -160932
-194998 -29362 61963 21343 -91266 174805 -194997 -29362
168108 175303 28293 59114 227316 85550 168107 175303
-90044 226884 51835 40102 124353 210051 -90045 226888
-103622 -80448 38655 52922 -131128 -3845 -103621 -80448
-12831 89020 -1081 65527 -14298 88796 -12831 89020
104437 105267 47430 -45226 4113 -148228 104438 105268
-143821 -206039 -65360 4796 194961 -158513 -143820 -206038
114586 64663 -64447 11897 -42787 124420 114585 64662
13463 -118795 19936 -62430 -48962 109069 13463 -118794
216910 55300 64447 11897 93758 -203267 216910 55300
-73292 -22039 -40340 -51650 71329 -27745 -73294 -22040
125560 -82377 -62260 20462 117462 93563 125561 -82378
-51376 -199397 20366 -62291 -13133 205490 -51375 -199396
39140 255155 -56583 -33065 -240045 -94941 39139 255153
-183493 197886 -30070 58230 -253833 91633 -183491 197884
-157543 -37588 32804 -56735 117571 111398 -157542 -37588
-47523 -192955 -58379 -29780 193478 45347 -47523 -192955
-145804 39486 -14187 63982 -150894 6987 -145803 39486
-216825 176967 -62808 -18711 -107695 -258325 -216824 176966
-116019 -249300 -60653 24824 186779 -201805 -116020 -249303
141226 217201 -30560 57974 23648 257994 141224 217198
8419 31535 -56004 -34037 -31321 -9184 8419 31535
-50398 82952 39882 -52003 90471 -35153 -50397 82950
1003 -52458 54449 -36473 -44142 28361 1003 -52458
11666 -208367 64004 -14089 -206004 33402 11666 -208369
152133 -32497 23187 61297 130795 -84221 152133 -32497
238440 -212380 -65159 7024 236714 214306 238444 -212383
-86396 -189803 -10808 -64639 116515 172957 -86397 -189805
-41218 973 -12638 -64306 40257 -8903 -41218 973
90638 -4475 28496 59016 79675 -43441 90637 -4475
-120351 25577 35886 -54838 114710 44500 -120352 25577
61310 173441 -14482 -63916 -98121 -155606 61310 173442
245962 -56131 -56289 -33563 -77754 240004 245960 -56130
-225544 123419 5047 65341 -215368 140421 -225541 123417
-144012 -160852 65252 -6098 -146755 158355 -144013 -160854
9252 180494 -33130 56545 -83261 160409 9252 180493
191716 -115247 53173 38309 18561 -222917 191715 -115246
-218940 -260886 54658 -36159 -96784 326541 -218940 -260886
-150009 -81910 11130 -64584 133919 106196 -150009 -81910
-9309 -92560 7224 -65137 -951 93023 -9309 -92561
145593 210845 22031 61722 207999 149631 145593 210845
212185 213143 19216 -62655 -140361 -265988 212182 213139
64011 -143607 65452 -3316 -146662 -56663 64011 -143607
-84489 -12501 47325 45335 -67473 52364 -84488 -12501
-133555 -231854 -64340 12465 202221 -175217 -133557 -231857
137389 -68612 -11946 -64438 -122580 92506 137388 -68612
-175755 97955 5397 65313 -167090 112095 -175753 97953
-183081 -90569 46959 45715 -192605 68007 -183082 -90570
-224542 19797 62815 18687 -45051 220864 -224540 19797
-71945 38129 6073 65254 -68102 44632 -71945 38129
-27747 -145474 -56823 -32652 139958 48421 -27748 -145475
85710 -58264 -53523 -37818 -1876 103621 85709 -58263
144609 -194703 26902 -59760 -211788 118182 144609 -194703
259094 -180904 -7972 65049 279174 -148043 259091 -180902
84901 -41075 50548 41711 22355 -91627 84900 -41074
52737 54758 -45895 -46783 -75994 -2157 52738 54759
-247383 -20443 31270 57595 -227162 100071 -247385 -20443
-236464 -204520 65307 -5473 -184058 252717 -236463 -204520
-63674 -167670 -42635 49772 60721 -168762 -63674 -167671
222715 -80437 -65522 1332 84946 221033 222712 -80435
98234 -152089 -28948 58796 155311 -93056 98234 -152088
-158248 8146 65272 -5873 22295 156881 -158247 8146
-225432 -8571 -43431 49079 -163143 -155813 -225433 -8571
150 -234687 -41963 50340 150386 -180173 150 -234689
-6736 -140958 61315 23140 -134258 -43468 -6737 -140959
-261210 -108461 3191 65458 -266180 -95613 -261208 -108460
-203016 -178959 36744 -54267 67770 262012 -203019 -178962
76540 -75973 62714 19024 -50483 -95298 76540 -75973
-4609 -155518 43034 49427 -105596 -114265 -4608 -155517
-174903 -262041 59698 -27040 -166534 267440 -174905 -262044
-172790 185330 31798 -57305 241010 -78216 -172790 185330
44901 -250541 -57499 31446 241361 -80822 44901 -250542
-223113 -208092 42558 -49837 34535 303130 -223110 -208089
-146842 -134990 -7099 65150 -131355 -150101 -146841 -134988
132308 130226 -22645 61499 79160 167921 132306 130225
205799 198633 -30893 57798 87866 272191 205799 198634
174141 -240440 63882 14629 -195500 -223417 174139 -240437
-132200 101148 -16800 63346 -153711 63879 -132199 101148
-212255 -74686 58640 -29264 27952 223270 -212258 -74687
131603 108651 -54755 36012 -18462 169657 131603 108651
71267 15997 64025 -13991 414 -73039 71267 15997
78638 -175830 22716 -61473 -134709 137672 78638 -175829
127072 -99266 65505 2010 -95322 -130056 127071 -99266
-81962 84422 15387 63704 -59850 101306 -81962 84422
239615 250424 -35633 -55002 -337260 -79889 239613 250422
-240773 -93988 -63248 17164 27648 -256983 -240770 -93987
-111795 -108193 -54906 35781 29607 -152732 -111794 -108193
112241 5191 -653 -65533 -112288 -4072 112242 5191
252179 4745 25613 60324 233978 -94190 252182 4745
-233208 -165425 35802 -54893 104964 265961 -233211 -165428
213172 -125462 43600 48929 75686 -235489 213174 -125463
-50611 240170 54097 36993 169681 177345 -50611 240170
51983 221935 64563 -11254 209713 -89322 51983 221938
161544 176323 -32521 56898 52755 233246 161546 176324
136414 -46079 65506 -1985 -50190 -134956 136414 -46079
-97248 -55558 -51881 -40042 103400 -43040 -97249 -55559
169319 -240589 -56289 -33563 119929 268641 169317 -240587
-152288 63724 -33865 -56108 97451 -133250 -152287 63724
60173 -197296 43899 48660 -87480 -186797 60172 -197293
199794 240958 58242 30048 305745 -67079 199796 240961
177932 172735 -62794 18759 -114577 219931 177933 172736
57129 -191002 49195 -43299 -181121 83309 57128 -191001
-135218 -87264 -35210 -55274 160928 952 -135218 -87263
261697 -190433 44438 48169 63221 -317417 261698 -190433
-181239 199986 -39962 51942 -265591 47989 -181238 199985
252845 -167071 -54672 -36138 -49 303057 252846 -167071
242416 248709 -63410 -16557 -301885 171718 242416 248709
50312 -234237 61781 21865 -204030 -125579 50313 -234237
103454 -82921 33584 -56277 -131331 18191 103454 -82922
-58128 -196465 -55636 34636 136066 -153179 -58128 -196467
171093 -123878 -31358 -57547 -90963 190642 171094 -123878
-211585 -98644 -4621 -65373 218014 83480 -211586 -98645
-91287 95947 50835 -41362 132039 10254 -91288 95948
254436 154720 -15900 63578 209297 211827 254436 154720
-138356 144369 62109 20915 92665 177195 -138356 144369
80518 -9789 -63081 17770 31255 74847 80518 -9790
-162781 96567 20343 -62299 184716 -41269 -162782 96568
-3070 -104725 -11897 -64447 22030 102427 -3070 -104724
-210831 231804 -38898 52744 -307263 61422 -210832 231805
119186 204580 8197 65021 143838 188065 119185 204578
-245839 141563 -22007 61730 -279099 50789 -245835 141561
96383 -116554 -62165 -20748 80045 128325 96383 -116554
39736 -105569 24591 -60747 -76445 82945 39735 -105568
