# i_alpha_raw i_beta_raw theta_u16 sin_raw cos_raw id_raw iq_raw
-4082066 -16357763 34668 -11872 -64452 6977794 15347721
-932185 10501393 6869 40102 51835 5688584 8876376
10340727 9398369 41134 -47099 -45571 -13944871 896375
-1992942 1096506 59430 -36222 54617 -2266940 -187690
8659499 -12338178 16143 65518 1533 -12132229 -8945732
-12256190 16732265 53647 -59552 27360 -16777216 -4151701
-15594708 8837427 50447 -65034 8097 -10696466 -14383386
11696034 9369223 5071 30605 57951 14717742 2822856
-16476399 7197741 10431 55139 35422 -2849591 16777215
7945454 1550235 44339 -58673 -29196 -4927558 6422775
-4691912 -10660737 18112 64639 -10808 -9741046 6385830
-6698138 -12827469 18489 64207 -13130 -11225384 9132263
-9223423 15009456 34448 -10510 -64688 6697012 -16294401
5735256 12830673 22678 53969 -37179 7312431 -12001917
7695099 -2769879 17778 64953 -8720 -3769123 -7258094
3100137 -6690442 42525 -52744 -38898 3544488 6466041
3326782 -6606202 62914 -16314 63473 4866553 -5570104
9172844 3124128 51550 -63814 14922 -953460 9643160
-6402648 -2817730 31953 5122 -65336 6162888 3309533
2092575 16630272 12500 61045 23844 16251988 4101425
-15876570 7533419 52741 -61697 22102 -12446492 -12405901
12193918 -15297599 61241 -26236 60055 16777215 -9136622
14002846 6101914 8479 47585 45062 14058774 -5971695
11657449 -10961171 19877 61897 -21533 -14182792 -7408664
1083973 10496158 64146 -8720 64953 -322253 10547015
-2425541 7249950 15897 65464 3065 7128547 2761943
4035314 -12469983 39245 -38126 -53305 3972292 12490277
7078311 -2952823 63502 -12711 64291 7516556 -1523858
-2906801 -3799310 54964 -55622 34657 1687381 -4476239
15262413 580884 26399 37592 -53682 -12168583 -9230463
12671871 16662714 41024 -46624 -46056 -16777216 -2694773
6899011 -10105532 63055 -15460 63686 9088164 -8192783
2732884 -2114984 25314 42958 -49493 -3450228 -194127
16704077 -8113971 59596 -35337 55193 16777215 2173425
-7894067 7327471 52155 -62844 18591 -9265841 -5491176
-529986 15629548 61939 -22173 61671 -5786724 14528480
3453725 3351133 64529 -6324 65230 3114226 3668759
-15913063 8999249 8974 49674 42749 -3558942 16777215
-3527524 -9568175 8355 47046 45625 -9324457 -4128908
-211334 -7406443 39534 -39583 -52232 4641840 5775270
-5716978 -4152849 20890 59520 -27428 -1378972 6930220
-12063493 -10900313 33227 -2864 -65473 12528253 10362646
-16427096 12578944 36916 -25381 -60422 10273618 -16777216
-1491098 15270233 1444 9044 64909 630467 15329911
-13421264 11996785 61472 -24894 60624 -16777216 5999514
6376080 -7182269 24336 47395 -45262 -9597744 349267
12696794 -10547402 49425 -65514 1709 10874959 12417484
7683671 7541088 16035 65499 2211 7796056 -7424918
7047964 -11390496 55709 -53011 38533 13357556 -996252
13334124 13469337 12161 60235 25821 16777215 -6948688
11889591 -5345649 41789 -49870 -42520 -3646208 12515730
-9737539 14959457 15119 65052 7947 13668188 11479632
-7340872 -14284228 19791 62077 -21010 -11176915 11532760
6536498 -13632318 62632 -18012 63012 10031481 -11310794
8601565 -659417 47741 -64936 -8845 -507522 8611813
-8777319 16574715 54574 -56885 32543 -16777216 611773
-5741178 3280657 64689 -5322 65320 -5988669 2803619
-6619734 15958690 46460 -63365 -16727 -13740450 -10473640
-13503128 -10476218 54725 -56405 33368 2141399 -16777216
1097728 10759381 41760 -49756 -42654 -8883152 -6169313
-85168 8648885 54644 -56659 32935 -7520175 4272850
4278706 6887902 18709 63916 -14482 5772139 -5695013
-12887746 7263535 44646 -59510 -27451 -1197379 -14745194
-11276484 -12764439 59392 -36410 54491 -2284449 -16777216
-6710127 7436950 48012 -65145 -7149 -6660605 -7481353
-14409838 -12424661 34789 -12613 -64311 16531728 9419114
-2036940 -1096084 58913 -38878 52759 -989584 -2090766
-1376998 10259536 15126 65058 7898 10018759 2603371
3368896 7019462 41673 -49394 -43072 -7504645 -2074265
4182506 -8037683 26473 37200 -53955 -8005812 4243225
-13607997 13886114 57348 -46323 46359 -16777216 204210
11498501 -9779034 61868 -22575 61525 14163314 -5219672
11674180 4143729 49757 -65426 3793 -3461112 11894410
2893996 9980335 50002 -65320 5322 -9712427 3694933
5906938 -8344987 37542 -28948 -58796 -1613367 10095915
9909629 447263 19194 63175 -17431 -2204573 -9671586
-6447797 -6957285 19373 62865 -18518 -4851828 8150875
-325873 -11452703 13158 62423 19960 -11007942 -3177704
203300 172314 16321 65535 402 173558 -202240
82038 65247 17286 65292 -5648 57934 -87356
243264 74459 9324 51088 41049 210414 -142996
239641 26325 40520 -44345 -48254 -194260 142770
-210558 -180685 62134 -21010 62077 -141519 -238651
57065 -18233 26073 39241 -52489 -56622 -19566
42954 119724 25758 40813 -51276 40951 -120423
21369 225397 30752 12588 -64316 22323 -225306
-131203 147511 19811 62036 -21129 181933 76638
-55823 42673 39971 -41731 -50532 15870 -68449
2238 -17827 12944 62004 21224 -16141 -7891
-145810 -41627 34616 -11551 -64510 150864 15276
136947 11426 25276 43129 -49344 -95592 -98727
229623 19885 26049 39362 -52398 -171647 -153814
-153999 -236418 19060 63391 -16630 -189602 208951
245358 -70142 17060 65398 -4244 -85883 -240299
180144 -9698 52851 -61464 22740 71603 165586
84810 247633 61381 -25427 60402 -17912 261139
-27581 -76226 49229 -65534 478 76023 -28136
-124837 -244928 18750 63860 -14727 -210611 176684
-2024 259502 45805 -62189 -20677 -245610 -83795
191671 -44607 60925 -28043 59233 192324 41700
-181809 -3968 3487 21486 61914 -173062 55857
-253463 -24939 14892 64867 9343 -60819 247320
-149623 10399 30972 11229 -64567 149192 15391
-108433 -161892 35762 -18543 -62858 149808 124596
-47617 -204386 49439 -65512 1784 203015 -53163
-139236 -83375 61901 -22386 61594 -102381 -125921
231672 125441 43807 -57109 -32149 -222959 140347
33421 -133899 59800 -34251 55873 98473 -96689
-110709 -24184 27846 29802 -58368 87603 71883
169914 63722 4239 25890 60205 181266 -8586
-131528 -127820 52366 -62453 19864 81941 -164083
-124373 -149798 30834 12095 -64410 94590 170178
56763 -131116 39372 -38777 -52833 31820 139288
125075 184197 51311 -64141 13450 -154607 160216
159507 -95224 8412 47308 45353 41645 -181040
41704 -241682 1708 10684 64659 1746 -245247
137094 -150833 1882 11749 64474 107832 -172966
181030 -181298 17407 65223 -6399 -198108 -162463
-100763 220780 7574 43506 49012 71208 232005
-211053 210410 10438 55166 35380 63178 291248
-244673 -167106 18362 64363 -12341 -118041 271761
184917 29333 61339 -25682 60294 158631 99451
102176 93929 45706 -61988 -21272 -122009 66156
171630 -217604 2415 15020 63792 117191 -251149
163995 -103669 41021 -46607 -46074 -41568 189511
30652 -111519 25177 43600 -48929 -97076 62868
-198810 -148318 54743 -56354 33455 26049 -246669
-45520 19866 10021 53711 37551 -9801 48689
-132366 -189285 62627 -18060 62998 -75078 -218431
-73836 146026 34188 -8895 -64930 53334 -154697
-101675 230143 44646 -59510 -27451 -166393 -188726
207563 -91685 64366 -7348 65123 216535 -67835
21284 -5483 37875 -30805 -57845 -16209 14844
-160201 56871 22727 53797 -37427 138173 99027
199386 -74327 28374 26810 -59801 -212344 -13744
-55902 134074 4776 28971 58785 9126 144975
-216168 -122816 51636 -63686 15460 68355 -239038
-187748 -245122 8866 49228 43261 -308060 -20779
181950 69101 14775 64755 10088 96285 -169145
-37161 -204225 42037 -50867 -41323 181945 99929
-181922 -228106 53063 -60990 23984 145706 -252782
157756 -16731 13013 62141 20820 34253 -154899
-208105 161850 6506 38269 53202 -74429 252910
-235983 -244488 26155 38838 -52788 45191 336779
-189612 12788 14555 64528 11452 -20542 188930
193808 109191 20502 60499 -25196 26287 -220892
74736 -29622 18571 64105 -13622 -44509 -66947
177594 -253839 38247 -32848 -56710 -26447 308667
-2401 223929 103 628 65533 -255 223942
48199 -254339 3990 24451 60804 -50173 -253957
222980 41062 31241 9566 -64834 -214598 -73170
-137240 66304 45256 -61017 -23914 -11653 -151971
-130759 -32905 40238 -43015 -49443 120247 -61000
234254 -9878 56389 -50388 41905 157381 173792
-107448 123395 28399 26673 -59863 148368 -68982
180357 212292 5330 32040 57170 261121 97017
-34828 -238599 31243 9566 -64834 -372 241127
59520 -66470 45826 -62228 -20557 44445 77366
160970 47807 19308 62978 -18132 1405 -167914
49767 -140199 21276 58459 -29623 -147555 18979
-15052 220239 55282 -54547 36326 -191653 109548
-215130 18164 54106 -58288 29959 -114499 -183034
225337 149568 51700 -63590 15851 -90625 254822
-227345 -33547 37938 -31159 -57655 215956 -78578
25281 78579 44765 -59822 -26765 -82053 -9015
52465 -199673 37374 -27998 -59255 37867 202950
219322 208920 25404 42520 -49870 -31346 -301276
-62058 1956 27562 31380 -57535 55418 27997
197488 146707 22131 55847 -34294 21675 -245060
23466 -144393 34339 -9815 -64797 -1576 146279
-155137 -180784 24101 48407 -44179 -28952 236459
86089 194962 36768 -24521 -60776 -152783 -148590
-239722 -86702 61028 -27451 59510 -181363 -179142
-97241 40341 62518 -18711 62808 -104711 10899
-167570 -207841 28494 26121 -60106 70846 257409
-154846 -127699 61871 -22575 61525 -101381 -173223
8608 250279 18162 64588 -11105 245200 -50893
185866 143765 18901 63639 -15656 95202 -214830
-170210 172666 3172 19624 62529 -110697 215711
158411 -2202 50505 -64986 8471 22659 156797
58211 12127 57928 -43675 48862 35319 47835
-33497 -119947 8098 45912 46765 -107933 -62125
-139249 -220624 25715 41029 -51104 -29538 259217
101567 -170407 47599 -64808 -9740 153419 125765
-48153 -227522 36587 -23445 -61199 126361 195239
-153216 -60789 57310 -46501 46181 -64833 -151550
138502 59517 31305 9168 -64892 -128815 -78308
-124730 42485 47468 -64684 -10535 -21882 -129938
-249945 -47933 21222 58617 -29308 68904 244993
97222 -24980 21625 57438 -31556 -68706 -73181
-71496 -245434 8361 47081 45589 -226055 -119369
-161888 -154377 54906 -55821 34337 46673 -218774
-26636 -256962 22197 55622 -34657 -204004 158494
166411 257284 6630 38898 52744 286637 108294
239111 36598 39106 -37407 -53812 -217225 106430
-175620 97476 61600 -24148 60925 -199181 25907
60717 -148466 41079 -46853 -45823 63688 147216
-245495 -62694 15563 65332 5172 -81873 239783
-18408 -68196 32166 3793 -65426 14430 69147
110548 6097 58385 -41498 50724 81702 74719
70252 -10275 23324 51557 -40458 -51453 -48924
119346 -106866 64236 -8147 65028 131706 -91201
191532 -204617 63166 -14776 63849 232735 -156166
-252299 116279 24854 45099 -47551 263079 89252
165367 78226 45326 -61172 -23516 -132355 126286
113796 196994 52572 -62045 21106 -149852 171177
129536 -88908 62113 -21129 62036 151282 -42397
-95974 -253417 694 4345 65392 -112565 -246497
-227167 236166 39346 -38635 -52937 44270 -324684
212420 150975 32589 1131 -65526 -209782 -154618
186953 174106 37453 -28451 -59038 -244001 -75682
218476 35177 26120 38999 -52669 -154649 -158281
3651 126988 49575 -65483 2638 -126738 8760
-68475 198329 12085 60045 26259 154275 142204
-205119 224581 9580 52080 39783 53954 299333
-34415 -184226 61567 -24358 60841 36522 -183819
-256126 -215397 43716 -56835 -32630 314323 -114876
225586 47137 3985 24428 60813 226899 -40345
-59881 -259548 33003 -1458 -65520 65641 258152
-126115 -138965 49579 -65482 2663 133726 -131658
-148226 -51390 56990 -47895 44733 -63618 -143404
-121471 92253 21238 58572 -29398 136939 67181
-85665 93683 35419 -16460 -63435 59389 -112195
160272 -194618 59992 -33217 56494 236802 -86533
238055 47380 27540 31490 -57475 -186008 -155937
-173168 19852 20966 59319 -27861 91587 148301
182951 13794 11304 57916 30672 97814 -155223
53940 -135766 11296 57892 30716 -94649 -111281
44134 -144250 58097 -42882 49559 127761 -80205
200160 184055 35822 -18904 -62750 -244742 -118494
196598 -234559 44190 -58253 -30026 118419 282216
123342 -52868 31376 8720 -64953 -129279 35986
41261 -36267 62730 -17431 63175 49421 -23986
-211641 -71406 44859 -60055 -26236 150160 -165355
92260 -47948 16195 65525 1206 -46242 -93127
-210748 206401 9810 52937 38635 42480 291911
90993 123994 58869 -39100 52594 -953 153796
-202050 137797 3539 21794 61806 -144726 197146
237957 -62513 17014 65417 -3943 -76716 -233764
175393 -93581 14063 63916 14482 -52510 -191737
-93492 55934 29125 22433 -61577 106990 -20553
41720 253763 8572 47998 44622 214260 142226
-126401 -140836 9906 53290 38146 -188093 20807
-217124 -20701 42911 -54140 -36931 139456 -167703
-51160 -208143 5660 33843 56121 -151296 -151822
-79516 177665 21775 56985 -32368 193756 -18607
143496 -172264 38011 -31556 -57438 -42819 220072
10925 68448 5641 33735 56186 44600 53059
-165477 -215451 60065 -32826 56722 -35306 -269360
98054 38869 41496 -48660 -43899 -94541 46768
-194886 -79393 20163 61288 -23210 -5227 210371
-186287 13483 30308 15314 -63722 184281 30420
2509 127604 29577 19744 -62491 36051 -122431
-179797 -79119 22014 56225 -33671 24498 194902
-83049 -210723 46812 -63894 -14580 223920 -34088
96406 -115069 34098 -8322 -65006 -81014 126380
115408 61806 51565 -63792 15020 -33711 126502
244442 -125096 13362 62801 18735 -49996 -270002
172737 -116461 52944 -61253 23304 170274 120036
81084 219092 58628 -40300 51681 -70784 222635
2106 -224228 37368 -27975 -59265 93811 203671
100953 -118794 45647 -61864 -21628 78822 134501
-80046 211256 32383 2437 -65491 87847 -208134
-193451 36841 2748 17067 63275 -177183 85949
-109125 190547 62864 -16606 63397 -153846 156677
-93772 -152987 19661 62330 -20247 -116533 136449
39646 -183189 19380 62851 -18567 -186916 13878
-182645 190247 51079 -64424 12020 -220518 -144653
131632 120061 58385 -41498 50724 25858 176276
-14253 -217434 33880 -6974 -65164 37310 214683
-157598 -149700 62573 -18374 62908 -109308 -187882
48919 179156 24007 48811 -43731 100792 -155982
255859 145326 62747 -17334 63202 208309 207824
76521 -2062 2766 17164 63248 73309 -22031
-137654 192008 16038 65500 2186 187311 143983
184558 -123417 9280 50914 41264 20324 -221089
-112646 -68099 13722 63410 16557 -94349 91787
-223580 -219029 7314 42271 50081 -312129 -23167
252411 214631 5415 32499 56910 325623 61211
180777 -93165 51108 -64387 12218 125234 160239
175645 -60953 40767 -45462 -47204 -84230 165747
-44268 -135151 1621 10138 64747 -64642 -126676
142091 81145 47286 -64488 -11674 -105158 125364
207916 14064 22387 54989 -35654 -101313 -182106
32931 238842 40625 -44824 -47809 -187382 -151714
-248264 32999 13534 63101 17697 -35267 247951
156689 69327 30383 14874 -63826 -136866 -103080
224441 172987 33235 -2914 -65471 -231910 -162836
121027 -224677 10583 55649 34615 -126857 -221439
13578 -215302 6100 36180 54644 -107539 -187015
-192706 153880 47372 -64584 -11130 -118917 -216040
-11717 -123835 12301 60576 25010 -118934 -36428
105661 38001 57420 -46002 46677 48581 101233
159462 -200484 31574 7498 -65106 -181353 180924
190155 -39787 29670 19192 -62663 -193470 -17643
228416 -115275 5987 35570 55043 129278 -220792
90828 37079 2592 16119 63523 97158 13600
-52638 21218 8935 49509 42939 -18459 53667
-223849 91774 21552 57655 -31159 187166 153296
225123 70907 15035 64986 8471 99411 -214068
107664 -4221 8219 46447 46234 72963 -79282
-257796 -211509 61301 -25890 60205 -153269 -296146
198448 173545 38290 -33087 -56571 -258919 -49615
175503 -69023 50833 -64688 10510 96275 162163
-65473 -238213 17376 65240 -6224 -230919 87801
-187 155377 52202 -62758 18880 -148845 44583
-68432 -156350 56882 -48356 44234 69175 -156022
-136964 -240831 9945 53436 37941 -275659 -27749
242500 35183 55397 -54140 36931 107589 220158
-235031 -171922 24737 45625 -47046 49031 287041
182460 -20916 6167 36514 54421 139861 -119028
-71895 -44915 26299 38105 -53319 32377 78344
202126 -254295 6440 37941 53436 17587 -324362
152139 -253499 56368 -50468 41808 292270 -44558
30289 -27138 6569 38594 52967 8498 -39770
-10514 -29175 34608 -11501 -64519 15471 26877
-96529 -121439 40899 -46056 -46624 154016 18558
68643 -71891 61689 -23633 61127 89950 -42301
7064 10807 64444 -6849 65177 5896 11486
-110757 -227073 37161 -26787 -59811 193895 161966
138713 145556 36198 -21153 -62028 -178269 -92992
125273 60377 46317 -63128 -17600 -91801 104456
27278 -251706 36338 -21984 -61739 58737 246273
-41636 -117637 22669 53998 -37138 -73332 100968
-180894 14786 12630 61333 23093 -49904 174503
-241819 -178326 38747 -35527 -55071 299875 18760
147704 -243888 32776 -50 -65536 -147518 244001
-384 110986 50661 -64852 9442 -109883 15610
-175241 244563 44554 -59265 -27975 -146357 -262868
86340 247293 26946 34721 -55582 57790 -255476
231636 50991 23925 49145 -43356 -115003 -207436
-69306 208574 61626 -24008 60980 -140895 168685
-182877 259365 27294 32848 -56710 288247 -132774
-200250 -250515 58440 -41225 50946 1916 -320710
80526 203136 7913 45080 47568 198179 92051
-72584 -112864 38147 -32303 -57022 118786 62424
69244 145932 22162 55742 -34465 87708 -135641
257198 -222649 1828 11427 64532 214436 -264084
-39830 -257151 36766 -24498 -60785 133068 223620
92050 191460 17405 65223 -6399 181558 -110305
-1752 117270 26064 39282 -52459 71694 -92820
155144 9712 2824 17528 63149 152091 -32136
-119782 61944 22383 55002 -35633 117115 66849
-252380 -72918 65448 -553 65534 -251757 -75045
-227852 152659 7552 43412 49095 -69567 265294
73733 66809 1781 11130 64584 84008 53316
107666 67363 34760 -12440 -64344 -118495 -45701
604 51438 877 5498 65305 4917 51206
-133400 148332 20723 59954 -26466 189570 62135
66773 51676 18233 64510 -11551 39098 -74836
187857 -65506 44306 -58583 -29376 -25649 197289
-21371 56745 54056 -58425 29690 -60270 6655
3720 20475 47861 -65034 -8097 -20778 1162
-170916 184629 25436 42367 -50000 249756 -30369
-146544 -248369 26434 37407 -53812 -21437 287582
-62047 -166951 54089 -58334 29869 120325 -131319
12240 38831 45420 -61386 -22952 -40659 -2134
177644 92116 51574 -63780 15069 -48801 194065
47913 -254701 52634 -61922 21462 256346 -38140
-93018 200581 46321 -63135 -17576 -168286 -143404
101188 51251 2624 16314 63473 110761 24449
158299 100562 45978 -62521 -19648 -143394 120867
-243847 3565 10824 56443 33303 -120844 211825
-207625 9374 51353 -64084 13721 -52636 -201062
134173 130313 44103 -57998 -30516 -177800 58062
82090 183529 20426 60681 -24754 138926 -145331
77181 -235480 28202 27793 -59351 -169761 180525
153012 -116221 10091 53955 37200 -8830 -191943
-214907 252998 26920 34849 -55502 316536 -99985
179551 107968 15439 65265 5948 123817 -169009
63287 179573 9938 53407 37982 183017 52499
203768 -92747 924 5798 65279 194764 -110411
-164484 138894 4329 26420 59975 -94534 193418
-168273 -243387 19887 61881 -21581 -174401 239036
-134614 -95625 51575 -63780 15069 62110 -152995
-233130 -141700 34796 -12662 -64301 256114 93987
239901 245250 25182 43581 -48945 -16078 -342695
171499 -80649 25989 39663 -52171 -185334 -39591
14113 258734 48644 -65458 -3191 -259113 1498
-79929 245400 54777 -56238 33649 -251623 57410
157020 -110801 4960 30003 58265 88873 -170393
-178353 95114 45645 -61864 -21628 -30925 -199749
-218375 233339 1125 7049 65156 -192011 255474
251565 -192020 16205 65526 1131 -187649 -254840
-133544 -188147 11831 59383 27725 -226978 41410
-4341 -45596 50997 -64514 11526 44121 -12292
152051 141037 7282 42117 50211 207133 10341
-200463 115356 35279 -15607 -63651 167226 -159777
-21855 -156235 30443 14506 -63910 -13269 157196
-10035 57485 15010 64967 8621 55666 17510
-208511 -140619 60931 -28020 59244 -128370 -216268
-121457 -125103 28048 28655 -58940 54533 165618
-99205 203215 44225 -58356 -29824 -135805 -180815
-212547 76019 63137 -14947 63809 -224284 25539
247818 -141282 55435 -54012 37117 256793 124225
-10580 1999 54575 -56885 32543 -6989 -8191
63941 21750 42290 -51850 -40082 -56314 37286
-145545 157772 11081 57244 31908 66947 203945
-170456 -208909 55932 -52171 39663 63144 -262128
-211532 -33584 65275 -1659 65515 -210614 -38928
46266 43717 16569 65526 -1156 42894 -47030
-118202 203477 57715 -44677 47947 -225192 68286
-190618 76408 31359 8845 -64936 199185 -49982
260340 129421 46377 -63229 -17237 -193339 217136
135668 -220987 54585 -56848 32608 259194 7729
-128432 141335 9053 50000 42367 24803 189355
118866 -23033 17450 65195 -6674 -35018 -115902
248281 -232334 63743 -11229 64567 284418 -186358
-243184 219852 22618 54182 -36868 318569 77373
100123 -65366 41965 -50580 -41673 -13217 118839
62127 98082 18956 63554 -15997 79951 -84189
-203860 255307 64412 -7049 65156 -230139 231900
-62654 -100830 51303 -64151 13401 85887 -81948
-93419 4822 63358 -13598 64110 -92387 -14666
-199760 147117 33303 -3341 -65451 192001 -157110
-104222 157121 33507 -4621 -65373 92884 -164079
-223844 -118846 38723 -35401 -55152 252574 -20900
-44553 166912 36884 -25196 -60499 -23042 -171212
26043 -181160 28874 23914 -61017 -90352 159165
-145844 -165995 9165 50452 41828 -220873 6331
201733 199887 47620 -64830 -9591 -227257 170307
-175825 98709 50456 -65025 8172 -119864 -162146
97163 76076 60131 -32477 56923 46693 114228
-144822 8391 47736 -64933 -8870 11287 -144625
35025 -17025 11463 58368 29802 764 -38936
100061 -119141 20172 61261 -23281 -146915 -51210
-59913 201986 7839 44733 47895 94084 188510
67493 182693 63050 -15485 63680 22414 193466
-105699 -184358 13745 63448 16411 -204953 56166
-227007 18141 11498 58470 29600 -86345 210725
-164032 -46311 13730 63423 16508 -86136 147078
219664 101424 22396 54948 -35717 -34679 -239451
-184446 228559 42396 -52262 -39543 -70975 -284995
139519 -25402 63060 -15411 63698 141579 8119
-193020 190105 32003 4821 -65358 206480 -175390
-251711 -166003 34832 -12884 -64257 279434 113278
-163218 -38454 65513 -151 65536 -163129 -38830
-45420 94988 31544 7673 -65085 56229 -89017
-220248 13839 32996 -1432 -65520 219892 -18648
45563 252730 4842 29331 58606 153856 205613
257497 -211682 64661 -5498 65305 274348 -189334
100431 165079 4541 27633 59425 160671 107340
-123132 -258792 40917 -46145 -46536 269654 97064
171438 -187108 38339 -33347 -56418 -52379 248309
-47460 9563 11885 59531 27405 -11159 47110
24059 35873 50297 -65142 7174 -33024 27841
25016 222955 6635 38919 52729 152531 164529
208830 -256489 18904 63633 -15680 -299005 -141399
256945 151837 34491 -10758 -64647 -278384 -107599
-77152 -165200 46875 -63976 -14212 177999 -39491
108218 149122 17403 65225 -6374 137889 -122208
836 -237569 40816 -45697 -46976 165053 170872
173427 -66168 9010 49821 42578 62372 -174829
-227748 32626 56909 -48237 44364 -178186 -145545
147562 -160931 58862 -39141 52564 214469 -40946
-194998 -29362 12924 61963 21343 -91266 174805
168108 175303 4659 28293 59114 227316 85550
-90044 226884 9516 51835 40102 124353 210051
-103622 -80448 6583 38655 52922 -131128 -3845
-12831 89020 65364 -1081 65527 -14298 88796
104437 105267 24331 47430 -45226 4113 -148228
-143821 -206039 49917 -65360 4796 194961 -158513
114586 64663 51058 -64447 11897 -42787 124420
13463 -118795 29545 19936 -62430 -48962 109069
216910 55300 14482 64447 11897 93758 -203267
-73292 -22039 39687 -40340 -51650 71329 -27745
125560 -82377 52465 -62260 20462 117462 93563
-51376 -199397 29474 20366 -62291 -13133 205490
39140 255155 43639 -56583 -33065 -240045 -94941
-183493 197886 60564 -30070 58230 -253833 91633
-157543 -37588 27301 32804 -56735 117571 111398
-47523 -192955 44232 -58379 -29780 193478 45347
-145804 39486 63261 -14187 63982 -150894 6987
-216825 176967 46134 -62808 -18711 -107695 -258325
-116019 -249300 53207 -60653 24824 186779 -201805
141226 217201 60478 -30560 57974 23648 257994
8419 31535 43457 -56004 -34037 -31321 -9184
-50398 82952 25944 39882 -52003 90471 -35153
1003 -52458 22541 54449 -36473 -44142 28361
11666 -208367 18647 64004 -14089 -206004 33402
152133 -32497 3773 23187 61297 130795 -84221
238440 -212380 50275 -65159 7024 236714 214306
-86396 -189803 34497 -10808 -64639 116515 172957
-41218 973 34792 -12638 -64306 40257 -8903
90638 -4475 4692 28496 59016 79675 -43441
-120351 25577 26726 35886 -54838 114710 44500
61310 173441 35093 -14482 -63916 -98121 -155606
245962 -56131 43546 -56289 -33563 -77754 240004
-225544 123419 805 5047 65341 -215368 140421
-144012 -160852 17359 65252 -6098 -146755 158355
9252 180494 60009 -33130 56545 -83261 160409
191716 -115247 9873 53173 38309 18561 -222917
-218940 -260886 22481 54658 -36159 -96784 326541
-150009 -81910 30988 11130 -64584 133919 106196
-9309 -92560 31616 7224 -65137 -951 93023
145593 210845 3578 22031 61722 207999 149631
212185 213143 29667 19216 -62655 -140361 -265988
64011 -143607 16914 65452 -3316 -146662 -56663
-84489 -12501 8419 47325 45335 -67473 52364
-133555 -231854 51149 -64340 12465 202221 -175217
137389 -68612 34683 -11946 -64438 -122580 92506
-175755 97955 863 5397 65313 -167090 112095
-183081 -90569 8333 46959 45715 -192605 68007
-224542 19797 13369 62815 18687 -45051 220864
-71945 38129 968 6073 65254 -68102 44632
-27747 -145474 43712 -56823 -32652 139958 48421
85710 -58264 42738 -53523 -37818 -1876 103621
