# d_raw q_raw theta_u16 sin_raw cos_raw alpha_raw beta_raw
6977794 15347721 34668 -11872 -64452 -4082102 -16357905
5688584 8876376 6869 40102 51835 -932200 10501565
-13944871 896375 41134 -47099 -45571 10340883 9398510
-2266940 -187690 59430 -36222 54617 -1992980 1096528
-12132229 -8945732 16143 65518 1533 8659481 -12338153
-16777216 -4151701 53647 -59552 27360 -10776775 13512058
-10696466 -14383386 50447 -65034 8097 -15594763 8837459
14717742 2822856 5071 30605 57951 11696081 9369260
-2849591 16777215 10431 55139 35422 -15655778 6670516
-4927558 6422775 44339 -58673 -29196 7945381 1550221
-9741046 6385830 18112 64639 -10808 -4691962 -10660851
-11225384 9132263 18489 64207 -13130 -6698088 -12827375
6697012 -16294401 34448 -10510 -64688 -9223487 15009561
7312431 -12001917 22678 53969 -37179 5735208 12830564
-3769123 -7258094 17778 64953 -8720 7695034 -2769856
3544488 6466041 42525 -52744 -38898 3100149 -6690468
4866553 -5570104 62914 -16314 63473 3326783 -6606204
-953460 9643160 51550 -63814 14922 9172685 3124074
6162888 3309533 31953 5122 -65336 -6402739 -2817769
16251988 4101425 12500 61045 23844 2092604 16630508
-12446492 -12405901 52741 -61697 22102 -15876758 7533508
16777215 -9136622 61241 -26236 60055 11716419 -15088911
14058774 -5971695 8479 47585 45062 14002679 6101841
-14182792 -7408664 19877 61897 -21533 11657290 -10961022
-322253 10547015 64146 -8720 64953 1083964 10496068
7128547 2761943 15897 65464 3065 -2425519 7249886
3972292 12490277 39245 -38126 -53305 4035359 -12470121
7516556 -1523858 63502 -12711 64291 7078203 -2952779
1687381 -4476239 54964 -55622 34657 -2906766 -3799263
-12168583 -9230463 26399 37592 -53682 15262229 580877
-16777216 -2694773 41024 -46624 -46056 9873205 13829519
9088164 -8192783 63055 -15460 63686 6898932 -10105417
-3450228 -194127 25314 42958 -49493 2732871 -2114974
16777215 2173425 59596 -35337 55193 15301318 -7215860
-9265841 -5491176 52155 -62844 18591 -7894115 7327516
-5786724 14528480 61939 -22173 61671 -529985 15629500
3114226 3668759 64529 -6324 65230 3453708 3351117
-3558942 16777215 8974 49674 42749 -15038034 8246190
-9324457 -4128908 8355 47046 45625 -3527523 -9568174
4641840 5775270 39534 -39583 -52232 -211335 -7406492
-1378972 6930220 20890 59520 -27428 -5716923 -4152809
12528253 10362646 33227 -2864 -65473 -12063350 -10900184
10273618 -16777216 36916 -25381 -60422 -15969468 11489231
630467 15329911 1444 9044 64909 -1491100 15270250
-16777216 5999514 61472 -24894 60624 -13240815 11922707
-9597744 349267 24336 47395 -45262 6376031 -7182214
10874959 12417484 49425 -65514 1709 12696905 -10547494
7796056 -7424918 16035 65499 2211 7683743 7541159
13357556 -996252 55709 -53011 38533 7047949 -11390472
16777215 -6948688 12161 60235 25821 12996806 12682396
-3646208 12515730 41789 -49870 -42520 11889591 -5345649
13668188 11479632 15119 65052 7947 -9737426 14959283
-11176915 11532760 19791 62077 -21010 -7340884 -14284250
10031481 -11310794 62632 -18012 63012 6536463 -13632245
-507522 8611813 47741 -64936 -8845 8601467 -659409
-16777216 611773 54574 -56885 32543 -7799991 14866346
-5988669 2803619 64689 -5322 65320 -5741257 3280702
-13740450 -10473640 46460 -63365 -16727 -6619655 15958499
2141399 -16777216 54725 -56405 33368 -13349375 -10385250
-8883152 -6169313 41760 -49756 -42654 1097742 10759521
-7520175 4272850 54644 -56659 32935 -85168 8648863
5772139 -5695013 18709 63916 -14482 4278722 6887927
-1197379 -14745194 44646 -59510 -27451 -12887836 7263586
-2284449 -16777216 59392 -36410 54491 -11220403 -12680519
-6660605 -7481353 48012 -65145 -7149 -6710145 7436971
16531728 9419114 34789 -12613 -64311 -14409922 -12424733
-989584 -2090766 58913 -38878 52759 -2036961 -1096095
10018759 2603371 15126 65058 7898 -1376983 10259428
-7504645 -2074265 41673 -49394 -43072 3368894 7019458
-8005812 4243225 26473 37200 -53955 4182520 -8037711
-16777216 204210 57348 -46323 46359 -11723562 12003143
14163314 -5219672 61868 -22575 61525 11498471 -9779009
-3461112 11894410 49757 -65426 3793 11674128 4143710
-9712427 3694933 50002 -65320 5322 2894035 9980471
-1613367 10095915 37542 -28948 -58796 5906923 -8344966
-2204573 -9671586 19194 63175 -17431 9909521 447258
-4851828 8150875 19373 62865 -18518 -6447733 -6957215
-11007942 -3177704 13158 62423 19960 -325877 -11452877
16777215 16777215 8192 46341 46341 0 16777215
-16777216 -16777216 8192 46341 46341 0 -16777216
