# transaction_id ia_raw ib_raw ic_raw theta_u16 i_alpha_raw i_beta_raw sin_raw cos_raw id_raw iq_raw
140 0 0 0 0 0 0 0 65536 0 0
141 0 0 0 0 0 0 0 65536 0 0
142 0 0 0 0 0 0 0 65536 0 0
143 0 0 0 0 0 0 0 65536 0 0
144 0 0 0 0 0 0 0 65536 0 0
145 6554 -3277 -3277 3129 6554 0 19361 62611 6261 -1936
146 0 0 0 0 0 0 0 65536 0 0
147 0 0 0 0 0 0 0 65536 0 0
148 0 0 0 2086 0 0 13007 64232 0 0
149 0 0 0 2086 0 0 13007 64232 0 0
150 0 0 0 2086 0 0 13007 64232 0 0
151 0 0 0 2086 0 0 13007 64232 0 0
152 0 0 0 2086 0 0 13007 64232 0 0
153 0 0 0 0 0 0 0 65536 0 0
154 0 0 0 0 0 0 0 65536 0 0
155 0 0 0 0 0 0 0 65536 0 0
156 0 0 0 0 0 0 0 65536 0 0
157 3277 -1638 -1638 0 3277 0 0 65536 3277 0
158 0 0 0 0 0 0 0 65536 0 0
159 0 0 0 0 0 0 0 65536 0 0
160 3827021 -3798056 -2365182 3 4605795 -827265 0 65536 4605795 -827265
161 -1709360 5206659 6383873 980 -5003122 -679661 6148 65247 -5044819 -207316
162 7047568 3099960 -4029230 1957 5008174 4116015 12218 64387 5687725 3110168
163 6481014 1185729 -5633215 2934 5803216 3936896 18181 62964 6667639 2172462
164 6690274 2741386 -4375124 3911 5004800 4108694 23984 60990 6161280 1992098
165 -2307759 -5690493 2322538 4888 -415857 -4626298 29600 58470 -2460534 -3939671
166 -302501 -5093472 -6220830 5865 3569794 650877 34934 55449 3367298 -1352184
167 6881391 6857712 -3516698 6842 3473949 5989632 39962 51942 6405663 2628899
168 1971804 -1373083 2855043 7819 820556 -2441095 44641 47981 -1062040 -2346140
169 5007934 -7139589 -249118 8796 5801570 -3978191 48945 43581 886927 -6978323
170 -91548 633617 4818486 9773 -1878414 -2416121 52803 38817 -3059278 82387
171 3884404 2162810 1136258 10750 1489925 592677 56199 33714 1274707 -972760
172 -4547191 -7369409 6185080 11727 -2636704 -7825641 59103 28315 -8196673 -1003203
173 99386 -7308988 400921 12704 2368965 -4451291 61499 22645 -3358532 -3761115
174 4374874 1294727 -578164 13681 2677748 1081308 63346 16800 1731609 -2311076
175 -2921829 -3150133 -1366220 14658 -442438 -1029936 64639 10808 -1088805 266528
176 981446 3661892 -1460680 15635 -79441 2957501 65366 4721 2944107 292284
177 -6710769 7588303 3243010 16612 -8084346 2508741 65520 -1432 2684776 8027555
178 -3533639 -550392 -7647519 17589 376881 4097504 65100 -7548 4026837 -846297
179 -7920514 -6732373 1141154 18566 -3416629 -4545756 64110 -13598 -3737932 4285481
180 -5140850 -4364811 -1435198 19543 -1493908 -1691403 62559 -19529 -1169402 1930066
181 2662763 -5490323 -5294232 20520 5370068 -113213 60451 -25312 -2178513 -4909673
182 -726815 7101850 -3685570 21497 -1623316 6228082 57821 -30849 6259027 -1499456
183 -5163084 6926802 1679189 22474 -6310768 3029693 54686 -36117 6005978 3596302
184 -1677745 -4196912 -7579179 23451 2806889 1952741 51072 -41068 -237166 -3411081
185 -6571825 -8103789 4598244 24428 -3212726 -7333478 46994 -45679 -3019338 7415234
186 -368720 -4715325 -188297 25405 1388738 -2613665 42520 -49870 -2752524 1087865
187 1185407 214917 -853370 26382 1003097 616772 37674 -53625 -466229 -1081315
188 -6232197 -2450402 2752125 27359 -4255405 -3003662 32499 -56910 2205797 4718549
189 3177031 -3846337 -7649336 28336 5949957 2195649 27017 -59708 -4515689 -4453244
190 4811742 -1471793 4414353 29313 2226992 -3398348 21320 -61971 -3211391 2489007
191 -448523 -3952210 6555623 30290 -1166829 -6066664 15436 -63692 -294912 6170794
192 -6938393 -3754844 3592314 31267 -4571454 -4241858 9417 -64856 3914500 4854726
193 5780833 -3060797 -5898766 32244 6840462 1638492 3291 -65453 -6749519 -1979922
194 6182170 3671538 -6359072 33221 5017330 5791141 -2839 -65474 -5263454 -5568313
195 -223377 1682819 4684247 34198 -2271291 -1732865 -8944 -64923 2486538 1406683
196 3501501 -472592 7668869 35175 -64426 -4700446 -14971 -63803 1136489 4561432
197 -2051651 3788644 5521696 36152 -4471248 -1000572 -20891 -62117 4556938 -476933
198 7920834 -6026046 4542159 37129 5775229 -6101519 -26604 -59893 -2801071 7920570
199 1615106 6221774 4164729 38106 -2385449 1187628 -32084 -57145 1498606 -2203396
200 2987300 11446 2513261 39083 1149973 -1444415 -37283 -53898 -124041 1842125
201 -396449 4782627 2484828 40060 -2686805 1326627 -42175 -50162 1202774 -2744480
202 4314418 -657680 -1915863 41037 3734155 726408 -46677 -46002 -3138506 2149703
203 -7940433 -3552498 5759213 42014 -6029240 -5376087 -50771 -41439 7977218 -1271528
204 6826024 3813828 2567931 42991 2423448 719315 -54421 -36514 -1947565 1611655
205 1907350 1343424 5057306 43968 -862017 -2144198 -57607 -31248 2295793 264644
206 8210691 357256 -6070575 44945 7378290 3711088 -60275 -25728 -6309730 5329095
207 2554060 -667485 -921355 45922 2232337 146571 -62415 -19984 -820301 2081333
208 7668626 8260030 -4111092 46899 3729466 7142428 -64009 -14065 -7776407 2109698
209 -8339503 -4605341 8057857 47876 -6710559 -7311057 -65046 -7997 8075246 -5768257
210 -5827759 6099248 -7103800 48853 -3550349 7622738 -65509 -1885 -7517479 -3768138
211 -3381351 -1106117 -25653 49830 -1876992 -623802 -65398 4244 500938 -1913436
212 337625 5614908 2655349 50807 -2531689 1708692 -64716 10336 -2086597 -2230526
213 3350248 46293 -1649712 51784 2767993 979183 -63461 16362 -257111 2924820
214 -1492550 -6018033 -6690514 52761 3241174 388255 -61654 22220 733664 3180822
215 4065005 3945710 -3557436 53738 2580598 4331917 -59308 27884 -2822265 4178486
216 1616634 2838217 4676299 54715 -1427094 -1061211 -56443 33303 188773 -1768356
217 3196165 -4294851 -741650 55692 3809640 -2051429 -53070 38452 3896448 1881348
218 -164376 4175888 3956686 56669 -2820464 126556 -49245 43242 -1956097 -2035846
219 -1239172 3097037 -7982100 57646 802246 6396504 -44989 47654 -3807710 5201893
220 -2522768 -2540165 -7569462 58623 1688044 2903649 -40340 51650 -456936 3327471
221 6538477 5108790 -4490118 59600 4152792 5541899 -35316 55206 511800 6906221
222 5453214 -6734189 -3903700 60577 7181494 -1634174 -30003 58265 7132872 1834888
223 1455885 -8189953 8004729 61554 1032339 -9349948 -24428 60813 4443057 -8291327
224 -6139646 2720027 -1806238 62531 -4397728 2613225 -18639 62830 -4959368 1254573
225 -1446641 4689179 5796493 63508 -4459685 -639304 -12662 64301 -4252126 -1488898
226 -5444400 -7506233 899541 64485 -1427380 -4853047 -6599 65203 -931461 -4972115
227 4013039 5080600 5731789 65462 -928778 -375962 -478 65534 -926008 -382725
228 4315803 4677618 8178033 903 -1408026 -2020953 5648 65292 -1576953 -1892083
229 -3039788 6010166 2295728 1880 -4795193 2144519 11749 64474 -4333028 2969428
230 5405665 -1947292 -5488568 2857 6082443 2044544 17721 63095 6408739 323693
231 -873573 6604098 -7011449 3834 -446601 7860893 23539 61163 2406648 7496770
232 7374241 1996853 1071777 4811 3893314 534090 29151 58696 3724536 -1253434
233 -2318624 -5005918 4743641 5788 -1458334 -5628877 34529 55702 -4205194 -4015883
234 -3429854 71067 1648304 6765 -2859715 -910613 39583 52232 -2829184 1001480
235 2970266 -8261810 -4811689 7742 6338059 -1991916 44290 48305 3325470 -5751528
236 6087862 6191442 6935929 8719 -317218 -429827 48610 43955 -531574 -52995
237 -4269131 1241512 -3425817 9696 -2118001 2694667 52519 39201 892539 3309157
238 5399071 -963824 118471 10673 3881195 -624860 55952 34122 1487304 -3638948
239 -7316207 6810431 2663625 11650 -8035551 2394145 58896 28745 -1372930 8271507
240 5366660 1387858 5447978 12627 1299171 -2344097 61324 23116 -1735195 -2042488
241 290091 -493521 5171548 13604 -1365959 -3270709 63222 17261 -3514993 456283
242 756824 -1357525 1023803 14581 615795 -1374852 64558 11278 -1248364 -843202
243 6163228 -7468776 3668518 15558 5375612 -6430081 65330 5197 -5983584 -5868620
244 -877573 -4422600 -5028146 16535 2565220 349610 65529 -930 313170 -2569907
245 3314393 4986924 -3589496 17512 1743799 4951569 65153 -7074 4734405 -2268084
246 6661865 -4533273 -3767138 18489 7208102 -442326 64207 -13130 -1877484 -6973310
247 6388611 -3108318 -2413878 19466 6099853 -400933 62699 -19072 -2158729 -5719118
248 473059 -4209075 8064066 20443 -969632 -7085859 60643 -24847 -6189198 3583736
249 -468332 -2155292 -1644897 21420 954516 -294675 58045 -30427 -704154 -708600
250 1653925 651263 7717530 22397 -1686994 -4079687 54948 -35717 -2501164 3637865
251 7397912 1327959 -1578935 23374 5015638 1678286 51370 -40695 -1798978 -4973620
252 -3983229 -4391040 -7412618 24351 1279076 1744498 47343 -45317 375761 -2130290
253 7325799 4143824 7261004 25328 1082265 -1799694 42882 -49559 -1996009 652792
254 -6878548 6363549 -5017935 26305 -5034275 6571063 38064 -53349 7914650 -2425156
255 7652107 5901137 476364 27282 2975593 3131975 32913 -56672 -1000215 -4202743
