# kind profile index ia ib ic theta_e we id_ref iq_ref vdc pi_reset uq_zero_en foc_u foc_v foc_w cmp_u cmp_v cmp_w v_alpha v_beta sector
0000000000000000 0000000000000000 000000000000000d 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000000e 000000000000199a ffffffffffffd99a 0000000000000ccd 0000000000000000 0000000000000000 0000000000003333 ffffffffffffe666 0000000000180000 0000000000000000 0000000000000000 00000000007e1970 0000000000814711 000000000081e690 00000000000004f5 00000000000004d6 00000000000004cf 00000000000037d6 00000000000008a2 0000000000000003
0000000000000000 0000000000000000 000000000000000f 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000010 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000011 000000000000199a ffffffffffffd99a 0000000000000ccd 0000000000004000 0000000000000000 0000000000003333 ffffffffffffe666 0000000000180000 0000000000000000 0000000000000000 0000000000800000 000000000079a4d2 0000000000865b2e 00000000000004e2 0000000000000520 00000000000004a4 0000000000000000 000000000000b027 0000000000000001
0000000000000000 0000000000000000 0000000000000012 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000013 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000014 000000000000199a ffffffffffffd99a 0000000000000ccd 0000000000008000 0000000000000000 0000000000003333 ffffffffffffe666 0000000000180000 0000000000000000 0000000000000000 00000000008767f4 000000000078980c 00000000008146fb 000000000000049a 000000000000052a 00000000000004d6 ffffffffffff587a 0000000000007851 0000000000000005
0000000000000000 0000000000000000 0000000000000015 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000016 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000017 000000000000199a ffffffffffffd99a 0000000000000ccd 000000000000c000 0000000000000000 0000000000003333 ffffffffffffe666 0000000000180000 0000000000000000 0000000000000000 000000000084578a 00000000007f1092 00000000007ba876 00000000000004b8 00000000000004eb 000000000000050c ffffffffffff9050 ffffffffffffd0cc 0000000000000004
0000000000000000 0000000000000000 0000000000000018 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000019 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000001a 000000000000199a ffffffffffffd99a 0000000000000ccd 0000000000000000 0000000000000000 0000000000003333 ffffffffffffe666 0000000000180000 0000000000000000 0000000000000000 00000000007e1970 0000000000814711 000000000081e690 00000000000004f5 00000000000004d6 00000000000004cf 00000000000037d6 00000000000008a2 0000000000000003
0000000000000000 0000000000000000 000000000000001b 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000001c 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000001d 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000007ba3 0000000000002121 0000000000180000 0000000000000000 0000000000000000 00000000007644bd 000000000084842c 000000000089bb43 0000000000000541 00000000000004b6 0000000000000483 0000000000010daf 0000000000004843 0000000000000003
0000000000000000 0000000000000000 000000000000001e 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000001f 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000020 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000002121 0000000000007ba3 0000000000180000 0000000000000000 0000000000000000 00000000007b7bd0 00000000007644d8 000000000089bb28 000000000000050e 0000000000000541 0000000000000483 0000000000004843 0000000000010daf 0000000000000001
0000000000000000 0000000000000000 0000000000000021 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000022 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000023 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffffa57e 0000000000005a82 0000000000180000 0000000000000000 0000000000000000 000000000089bb4e 00000000007644b2 0000000000848435 0000000000000483 0000000000000541 00000000000004b6 ffffffffffff3a94 000000000000c56c 0000000000000005
0000000000000000 0000000000000000 0000000000000024 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000025 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000026 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffff845d ffffffffffffdedf 0000000000180000 0000000000000000 0000000000000000 000000000089bb43 00000000007b7bd4 00000000007644bd 0000000000000483 000000000000050e 0000000000000541 fffffffffffef251 ffffffffffffb7bd 0000000000000004
0000000000000000 0000000000000000 0000000000000027 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000028 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000029 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffffdedf ffffffffffff845d 0000000000180000 0000000000000000 0000000000000000 0000000000848430 000000000089bb28 00000000007644d8 00000000000004b6 0000000000000483 0000000000000541 ffffffffffffb7bd fffffffffffef251 0000000000000006
0000000000000000 0000000000000000 000000000000002a 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000002b 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000002c 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000005a82 ffffffffffffa57e 0000000000180000 0000000000000000 0000000000000000 00000000007644b2 000000000089bb4e 00000000007b7bcb 0000000000000541 0000000000000483 000000000000050e 000000000000c56c ffffffffffff3a94 0000000000000002
0000000000000000 0000000000000000 000000000000002d 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000002e 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000002f 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000008000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 0000000000774668 000000000088b998 000000000088b998 0000000000000537 000000000000048d 000000000000048d 0000000000011733 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000030 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000031 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000032 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000008000 000000000000ddb2 0000000000180000 0000000000000000 0000000000000000 00000000006e8cd0 00000000006e8d10 00000000009172f0 000000000000058c 000000000000058c 0000000000000438 0000000000011733 000000000001e393 0000000000000001
0000000000000000 0000000000000000 0000000000000033 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000034 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000035 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffff8000 000000000000ddb2 0000000000180000 0000000000000000 0000000000000000 0000000000917330 00000000006e8d10 00000000009172f0 0000000000000438 000000000000058c 0000000000000438 fffffffffffee8cd 000000000001e393 0000000000000001
0000000000000000 0000000000000000 0000000000000036 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000037 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000038 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffff8000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 000000000088b998 0000000000774668 0000000000774668 000000000000048d 0000000000000537 0000000000000537 fffffffffffee8cd 0000000000000000 0000000000000004
0000000000000000 0000000000000000 0000000000000039 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000003a 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000003b 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 ffffffffffff8000 ffffffffffff224e 0000000000180000 0000000000000000 0000000000000000 0000000000917330 00000000009172f0 00000000006e8d10 0000000000000438 0000000000000438 000000000000058c fffffffffffee8cd fffffffffffe1c6d 0000000000000006
0000000000000000 0000000000000000 000000000000003c 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000003d 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000003e 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000008000 ffffffffffff224e 0000000000180000 0000000000000000 0000000000000000 00000000006e8cd0 00000000009172f0 00000000006e8d10 000000000000058c 0000000000000438 000000000000058c 0000000000011733 fffffffffffe1c6d 0000000000000006
0000000000000000 0000000000000000 000000000000003f 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000040 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000041 000000000000199a fffffffffffff333 fffffffffffff333 0000000000000c39 0000000000640000 0000000000004000 0000000000003333 0000000000180000 0000000000000000 0000000000000000 00000000009e8a50 00000000003c48bd 0000000000c3b743 00000000000003b8 0000000000000777 000000000000024d fffffffffffe175b 00000000000754a7 0000000000000001
0000000000000000 0000000000000000 0000000000000042 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000043 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 0000000000000044 0000000000000000 0000000000000000 0000000000000000 0000000000000826 0000000000000000 00000000000f0000 fffffffffff60000 0000000000180000 0000000000000000 0000000000000000 00000000000dda56 0000000000f225aa 00000000009aeead 000000000000093d 0000000000000087 00000000000003db 00000000000b8af3 fffffffffffb478d 0000000000000002
0000000000000000 0000000000000000 0000000000000045 0000000000000000 0000000000000000 0000000000000000 0000000000000826 0000000000000000 00000000000f0000 fffffffffff60000 0000000000180000 0000000000000000 0000000000000000 00000000000dda56 0000000000f225aa 00000000009aeead 000000000000093d 0000000000000087 00000000000003db 00000000000b8af3 fffffffffffb478d 0000000000000002
0000000000000000 0000000000000000 0000000000000046 0000000000000000 0000000000000000 0000000000000000 0000000000000826 0000000000000000 00000000000f0000 fffffffffff60000 0000000000180000 0000000000000000 0000000000000000 00000000000dda56 0000000000f225aa 00000000009aeead 000000000000093d 0000000000000087 00000000000003db 00000000000b8af3 fffffffffffb478d 0000000000000002
0000000000000000 0000000000000000 0000000000000047 0000000000000000 0000000000000000 0000000000000000 0000000000000826 0000000000000000 00000000000f0000 fffffffffff60000 0000000000180000 0000000000000000 0000000000000000 00000000000dda56 0000000000f225aa 00000000009aeead 000000000000093d 0000000000000087 00000000000003db 00000000000b8af3 fffffffffffb478d 0000000000000002
0000000000000000 0000000000000000 0000000000000048 0000000000000000 0000000000000000 0000000000000000 0000000000000826 0000000000000000 00000000000f0000 fffffffffff60000 0000000000180000 0000000000000000 0000000000000000 00000000000dda56 0000000000f225aa 00000000009aeead 000000000000093d 0000000000000087 00000000000003db 00000000000b8af3 fffffffffffb478d 0000000000000002
0000000000000000 0000000000000000 0000000000000049 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 00000000006b44d0 000000000094bb30 00000000007daf27 00000000000005ac 0000000000000418 00000000000004f9 000000000001df03 fffffffffffec0a9 0000000000000002
0000000000000000 0000000000000000 000000000000004a 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 0000000000a2882a 00000000005d77d6 000000000083db8e 0000000000000391 0000000000000633 00000000000004bc fffffffffffce21d 00000000000213ed 0000000000000005
0000000000000000 0000000000000000 000000000000004b 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 0000000000a2882a 00000000005d77d6 000000000083db8e 0000000000000391 0000000000000633 00000000000004bc fffffffffffce21d 00000000000213ed 0000000000000005
0000000000000000 0000000000000000 000000000000004c 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 0000000000a2882a 00000000005d77d6 000000000083db8e 0000000000000391 0000000000000633 00000000000004bc fffffffffffce21d 00000000000213ed 0000000000000005
0000000000000000 0000000000000000 000000000000004d 0000000000000ccd fffffffffffff99a fffffffffffff99a 0000000000000000 00000000001e0000 0000000000008000 0000000000008000 0000000000180000 0000000000000000 0000000000000001 00000000009114e0 00000000006eeb20 00000000006eeb20 000000000000043b 0000000000000589 0000000000000589 fffffffffffddd64 0000000000000000 0000000000000004
0000000000000000 0000000000000000 000000000000004e 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 00000000000a0000 00000000000a0000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000000 000000000000004f 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 000000000000199a ffffffffffffe666 0000000000180000 0000000000000000 0000000000000000 00000000007d3f4c 000000000082c0b4 00000000007eb8f3 00000000000004fd 00000000000004c7 00000000000004ee 00000000000037d8 ffffffffffffc828 0000000000000002
0000000000000001 0000000000000000 0000000000000050 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000001 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000001 0000000000000001 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000001 0000000000000002 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000000 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000001 0000000000000003 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
0000000000000000 0000000000000001 0000000000000004 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000000000 0000000000180000 0000000000000001 0000000000000000 0000000000800000 0000000000800000 0000000000800000 00000000000004e2 00000000000004e2 00000000000004e2 0000000000000000 0000000000000000 0000000000000002
